Gene	cancer	HR	pvalue
UBAP2	CESC	1.039	0.76
ZNF561	CESC	0.961	0.76
ZNF628	CESC	0.963	0.76
FAM217B	CESC	1.038	0.77
CAMTA2	CESC	1.039	0.77
LRCH2	CESC	1.041	0.77
MARK3	CESC	1.04	0.77
MLLT10	CESC	1.037	0.77
MTF2	CESC	0.964	0.77
NDUFV2	CESC	0.964	0.77
PDCD1LG2	CESC	0.962	0.77
POGZ	CESC	1.039	0.77
RBM6	CESC	0.963	0.77
SDHA	CESC	0.961	0.77
MSRB1	CESC	0.963	0.77
STS	CESC	1.037	0.77
TMSB15B	CESC	0.963	0.77
ZNF510	CESC	1.036	0.77
ZNF880	CESC	1.038	0.77
ADAT3	CESC	0.963	0.78
BCL10	CESC	1.037	0.78
C10ORF137	CESC	0.964	0.78
C2CD4A	CESC	0.963	0.78
C3ORF58	CESC	0.963	0.78
LRRC73	CESC	0.963	0.78
C8ORF42	CESC	1.038	0.78
CALM2	CESC	0.96	0.78
FABP6	CESC	0.965	0.78
GALNT18	CESC	1.035	0.78
KIAA0247	CESC	1.037	0.78
KIAA0586	CESC	0.964	0.78
LYPLAL1	CESC	1.039	0.78
PABPC1	CESC	1.038	0.78
PCDHB10	CESC	1.04	0.78
PGBD1	CESC	1.037	0.78
POU5F1	CESC	1.038	0.78
RCAN1	CESC	1.037	0.78
SAAL1	CESC	1.037	0.78
STAMBPL1	CESC	0.964	0.78
SYCE1L	CESC	1.037	0.78
UNC119	CESC	0.962	0.78
VCP	CESC	1.038	0.78
WHSC1L1	CESC	0.963	0.78
ZNF329	CESC	0.964	0.78
ZNF48	CESC	0.961	0.78
ZNF599	CESC	0.966	0.78
ZNF791	CESC	0.964	0.78
ABI1	CESC	0.964	0.79
AHDC1	CESC	0.966	0.79
AXIN2	CESC	1.036	0.79
TMEM52B	CESC	1.035	0.79
CAND2	CESC	0.965	0.79
CRYZ	CESC	1.034	0.79
ELAVL2	CESC	0.965	0.79
FUZ	CESC	1.035	0.79
GPRASP2	CESC	1.035	0.79
HIPK1	CESC	0.967	0.79
HIRA	CESC	0.966	0.79
HIST1H1E	CESC	0.966	0.79
LARP4B	CESC	1.034	0.79
NDE1	CESC	0.965	0.79
PADI3	CESC	0.965	0.79
PIM1	CESC	0.966	0.79
PPP1R14C	CESC	1.034	0.79
RBM17	CESC	0.967	0.79
TAS2R14	CESC	1.036	0.79
TCEAL5	CESC	1.036	0.79
ZNF630	CESC	0.966	0.79
ACE2	CESC	0.967	0.8
AMTN	CESC	0.963	0.8
ATP7A	CESC	0.969	0.8
BHLHE40	CESC	1.033	0.8
C20ORF196	CESC	1.034	0.8
COL2A1	CESC	1.036	0.8
CYP21A2	CESC	0.968	0.8
FAM72D	CESC	1.033	0.8
GPR108	CESC	0.967	0.8
IQSEC3	CESC	0.968	0.8
JHDM1D	CESC	1.032	0.8
KLHL41	CESC	0.967	0.8
LOH12CR1	CESC	0.968	0.8
MAF	CESC	0.964	0.8
MED6	CESC	1.034	0.8
METTL10	CESC	0.968	0.8
NR6A1	CESC	1.033	0.8
PBX1	CESC	1.031	0.8
PHACTR1	CESC	1.036	0.8
RNF38	CESC	0.968	0.8
SAMM50	CESC	0.966	0.8
SH3PXD2A	CESC	0.968	0.8
SLC10A4	CESC	1.037	0.8
SVIP	CESC	0.968	0.8
ZCCHC2	CESC	1.036	0.8
ZNF347	CESC	1.035	0.8
ZNF517	CESC	1.034	0.8
ZNF610	CESC	1.034	0.8
ANKRD44	CESC	1.032	0.81
BRIP1	CESC	0.971	0.81
C16ORF80	CESC	0.967	0.81
CBWD6	CESC	0.971	0.81
EIF4E	CESC	1.032	0.81
FGFR1	CESC	0.967	0.81
LIPE	CESC	0.97	0.81
MYCN	CESC	1.033	0.81
PCYT1B	CESC	1.031	0.81
PLA2G12A	CESC	1.031	0.81
PRDM16	CESC	0.969	0.81
RERE	CESC	1.031	0.81
RTN3	CESC	0.969	0.81
SIK3	CESC	0.969	0.81
SMAD3	CESC	0.967	0.81
SMARCE1	CESC	1.031	0.81
SPINK2	CESC	0.967	0.81
STAC2	CESC	1.036	0.81
SYNE1	CESC	1.033	0.81
TBX3	CESC	1.034	0.81
TPX2	CESC	1.034	0.81
ZNF562	CESC	1.033	0.81
ACSS3	CESC	0.97	0.82
CSF3R	CESC	0.968	0.82
DAPK1	CESC	0.969	0.82
FAM43A	CESC	1.031	0.82
FES	CESC	1.033	0.82
HEMK1	CESC	1.029	0.82
IGSF21	CESC	1.03	0.82
KRTAP5-1	CESC	0.968	0.82
LPHN3	CESC	1.031	0.82
LRRC37A2	CESC	1.031	0.82
LRRC45	CESC	0.97	0.82
MATN2	CESC	0.97	0.82
KAT6A	CESC	0.971	0.82
RS1	CESC	0.97	0.82
SNAP25	CESC	0.969	0.82
TNS1	CESC	1.03	0.82
TXNDC11	CESC	0.967	0.82
VAX2	CESC	0.971	0.82
WAPAL	CESC	1.03	0.82
WIPF3	CESC	1.029	0.82
ZNF385D	CESC	0.969	0.82
ADO	CESC	1.028	0.83
ARHGEF10L	CESC	0.972	0.83
ATP13A1	CESC	0.971	0.83
C10ORF55	CESC	1.029	0.83
TMEM260	CESC	1.027	0.83
OARD1	CESC	0.972	0.83
CCDC40	CESC	1.029	0.83
CGB7	CESC	1.029	0.83
EED	CESC	0.971	0.83
FAM177A1	CESC	1.029	0.83
LRRC69	CESC	1.028	0.83
MDM4	CESC	0.972	0.83
MEFV	CESC	0.973	0.83
MRVI1	CESC	0.972	0.83
NSUN7	CESC	1.028	0.83
OAS1	CESC	0.971	0.83
SAP130	CESC	0.971	0.83
TMEM50A	CESC	1.027	0.83
ZNF138	CESC	1.029	0.83
ZNF808	CESC	1.026	0.83
AKT2	CESC	1.027	0.84
ATXN1	CESC	1.026	0.84
BRCA1	CESC	1.026	0.84
CACNA1F	CESC	1.027	0.84
CCNYL1	CESC	1.028	0.84
CLEC18A	CESC	0.973	0.84
COX6B2	CESC	1.025	0.84
CXORF36	CESC	1.029	0.84
DMD	CESC	0.975	0.84
FAHD2B	CESC	1.027	0.84
FAM50B	CESC	1.024	0.84
GET4	CESC	1.025	0.84
IL7R	CESC	1.027	0.84
KHDC1	CESC	0.974	0.84
KLC4	CESC	0.974	0.84
MFSD8	CESC	1.026	0.84
PPP2R5C	CESC	1.024	0.84
RAP1A	CESC	1.026	0.84
RORA	CESC	1.026	0.84
TAF1	CESC	1.025	0.84
TRIM27	CESC	1.029	0.84
NME9	CESC	0.973	0.84
TXNRD3NB	CESC	0.976	0.84
USP48	CESC	1.027	0.84
ZBTB17	CESC	1.027	0.84
ZNF526	CESC	1.026	0.84
ZNF616	CESC	1.025	0.84
ZNF625	CESC	1.029	0.84
ZNF627	CESC	1.026	0.84
ZNF862	CESC	0.974	0.84
ZNRF3	CESC	0.975	0.84
ATP5SL	CESC	1.024	0.85
BMPR1A	CESC	1.024	0.85
PBDC1	CESC	0.977	0.85
DECR2	CESC	0.977	0.85
FAM160A2	CESC	1.026	0.85
FNDC8	CESC	0.975	0.85
GATA2	CESC	1.024	0.85
HGF	CESC	1.026	0.85
HSPB3	CESC	1.027	0.85
ITPKB	CESC	0.977	0.85
JRK	CESC	1.025	0.85
KIF19	CESC	0.973	0.85
LRP2BP	CESC	0.974	0.85
MSH2	CESC	0.975	0.85
PGS1	CESC	1.026	0.85
PHF5A	CESC	0.975	0.85
RCAN2	CESC	0.976	0.85
RHOA	CESC	1.026	0.85
SERHL2	CESC	0.977	0.85
SNX21	CESC	0.976	0.85
TEKT4	CESC	0.976	0.85
TFAP2A	CESC	0.973	0.85
THAP10	CESC	0.977	0.85
TMEM200A	CESC	0.976	0.85
TRMT12	CESC	1.026	0.85
ZSCAN31	CESC	0.974	0.85
ZNF441	CESC	0.977	0.85
ARRDC3	CESC	0.976	0.86
ATXN2L	CESC	1.026	0.86
C1ORF159	CESC	1.023	0.86
C21ORF2	CESC	0.977	0.86
CASP8	CESC	1.024	0.86
DUOX2	CESC	1.024	0.86
EXOC3L1	CESC	0.978	0.86
HCAR3	CESC	1.023	0.86
KLHDC7A	CESC	1.023	0.86
NOMO3	CESC	0.978	0.86
NR3C1	CESC	1.024	0.86
NT5C1B	CESC	0.977	0.86
PSME4	CESC	1.022	0.86
RIMS2	CESC	1.023	0.86
RPL12	CESC	0.977	0.86
RPL5	CESC	1.024	0.86
SAMD11	CESC	0.976	0.86
SLC35E2	CESC	1.025	0.86
SPEN	CESC	1.023	0.86
SRRM1	CESC	0.977	0.86
TTLL13	CESC	0.977	0.86
UCN2	CESC	1.024	0.86
WDR67	CESC	0.978	0.86
ZBTB1	CESC	0.976	0.86
ZCCHC14	CESC	1.022	0.86
ZNF19	CESC	1.021	0.86
ZNF273	CESC	0.976	0.86
ZNF684	CESC	1.025	0.86
ADH6	CESC	1.022	0.87
BBS5	CESC	0.978	0.87
C16ORF46	CESC	1.023	0.87
AAED1	CESC	1.022	0.87
CBFA2T3	CESC	0.978	0.87
CXORF23	CESC	0.98	0.87
DYRK4	CESC	0.98	0.87
FAM185A	CESC	0.979	0.87
GGTLC2	CESC	0.98	0.87
GLTPD1	CESC	1.021	0.87
GPR25	CESC	0.979	0.87
GRIN2A	CESC	0.977	0.87
KRT75	CESC	1.022	0.87
LONP1	CESC	0.979	0.87
OSBPL6	CESC	0.981	0.87
PNMAL2	CESC	0.98	0.87
SF3A1	CESC	1.021	0.87
SLC2A11	CESC	0.979	0.87
WDR88	CESC	1.023	0.87
ZMIZ1	CESC	0.978	0.87
ZNF354B	CESC	0.979	0.87
ZNF552	CESC	0.979	0.87
ZNF778	CESC	1.021	0.87
ACVR1B	CESC	0.978	0.88
ABRACL	CESC	1.02	0.88
CRISPLD1	CESC	0.98	0.88
EEF2	CESC	0.98	0.88
FXR1	CESC	1.019	0.88
IRF2BP2	CESC	1.02	0.88
KCNH2	CESC	1.023	0.88
MKS1	CESC	0.979	0.88
NGEF	CESC	1.02	0.88
POLR3B	CESC	1.02	0.88
RFTN2	CESC	0.979	0.88
SUZ12	CESC	1.02	0.88
SWAP70	CESC	0.98	0.88
TMEM131	CESC	1.019	0.88
TMEM215	CESC	1.022	0.88
TUBA3D	CESC	0.98	0.88
UBE2D3	CESC	1.022	0.88
ZNF519	CESC	0.982	0.88
ZNF578	CESC	0.979	0.88
ZNF600	CESC	1.019	0.88
BCL2L1	CESC	1.019	0.89
BRD2	CESC	1.019	0.89
FAM204A	CESC	0.983	0.89
C17ORF100	CESC	0.983	0.89
EFCAB13	CESC	1.018	0.89
C18ORF32	CESC	0.982	0.89
C2ORF69	CESC	0.983	0.89
CARS	CESC	1.017	0.89
CASP9	CESC	0.983	0.89
CCDC107	CESC	0.983	0.89
CDKN1A	CESC	0.982	0.89
CRTC1	CESC	1.018	0.89
DFNB59	CESC	1.019	0.89
EFCAB4A	CESC	0.983	0.89
EML3	CESC	0.982	0.89
FAM199X	CESC	0.982	0.89
HLA-B	CESC	1.017	0.89
INSIG1	CESC	1.018	0.89
KCNA6	CESC	0.982	0.89
ORC5	CESC	1.018	0.89
PHF2	CESC	0.984	0.89
PRCC	CESC	0.983	0.89
RNF215	CESC	1.018	0.89
SIGLEC15	CESC	0.982	0.89
SIN3A	CESC	1.018	0.89
SMARCD2	CESC	0.982	0.89
SNW1	CESC	1.018	0.89
STMN2	CESC	0.981	0.89
SUPT5H	CESC	1.019	0.89
TMEM200C	CESC	1.018	0.89
TMEM217	CESC	0.983	0.89
ZNF100	CESC	0.984	0.89
ZNF217	CESC	0.982	0.89
ZNF460	CESC	1.019	0.89
ZNF81	CESC	1.019	0.89
ALDH3B2	CESC	1.018	0.9
ANK3	CESC	0.984	0.9
ANXA8L2	CESC	1.016	0.9
BRD4	CESC	0.984	0.9
C11ORF82	CESC	1.017	0.9
C20ORF202	CESC	0.984	0.9
TMEM246	CESC	1.016	0.9
CCND3	CESC	0.985	0.9
CRAMP1L	CESC	1.017	0.9
DCLK2	CESC	1.016	0.9
ETF1	CESC	0.982	0.9
FCGR2C	CESC	0.983	0.9
HNF1A	CESC	1.016	0.9
KIAA1731	CESC	0.983	0.9
MAP1LC3B	CESC	1.017	0.9
MED12	CESC	1.017	0.9
MGA	CESC	1.016	0.9
OR2A1	CESC	0.983	0.9
PTEN	CESC	1.015	0.9
TBKBP1	CESC	1.016	0.9
TMEM167B	CESC	0.985	0.9
ZNF182	CESC	0.984	0.9
ZNF222	CESC	1.017	0.9
ZNF646	CESC	1.016	0.9
AGAP5	CESC	1.015	0.91
AKIRIN2	CESC	1.015	0.91
BAX	CESC	0.985	0.91
C16ORF13	CESC	1.014	0.91
MSANTD1	CESC	0.986	0.91
CBLL1	CESC	0.985	0.91
CNOT3	CESC	0.985	0.91
DDX3X	CESC	1.015	0.91
DOLK	CESC	0.986	0.91
EPN1	CESC	0.986	0.91
ERBB4	CESC	1.016	0.91
FAM105A	CESC	1.016	0.91
ZC2HC1A	CESC	1.014	0.91
GNL1	CESC	0.985	0.91
HNRNPUL1	CESC	0.985	0.91
LYL1	CESC	0.986	0.91
MOSPD2	CESC	1.014	0.91
MRPL24	CESC	1.015	0.91
MRPL44	CESC	1.015	0.91
MRRF	CESC	1.014	0.91
NDUFAF3	CESC	1.014	0.91
NR2F2	CESC	0.984	0.91
RBM15	CESC	1.014	0.91
RGAG1	CESC	1.016	0.91
SMAD4	CESC	0.985	0.91
SNAPC5	CESC	0.985	0.91
SUFU	CESC	0.985	0.91
TEAD3	CESC	0.985	0.91
USP6	CESC	1.015	0.91
XBP1	CESC	1.016	0.91
ZNF470	CESC	1.016	0.91
BCL2L12	CESC	1.013	0.92
C17ORF70	CESC	0.986	0.92
C9ORF96	CESC	0.987	0.92
COL6A6	CESC	1.015	0.92
CSNK1D	CESC	1.014	0.92
FIP1L1	CESC	0.987	0.92
FYN	CESC	0.987	0.92
GBA2	CESC	1.011	0.92
GNB2L1	CESC	1.014	0.92
IFIH1	CESC	0.986	0.92
ITPR1	CESC	1.014	0.92
MATR3	CESC	1.013	0.92
KAT7	CESC	0.988	0.92
NBN	CESC	0.988	0.92
PCBP1	CESC	0.987	0.92
PHEX	CESC	1.014	0.92
PSMD7	CESC	1.013	0.92
PTPN23	CESC	1.013	0.92
RCOR1	CESC	0.987	0.92
TCF7L2	CESC	0.987	0.92
TMEM14B	CESC	1.014	0.92
UPF2	CESC	0.987	0.92
UPK3B	CESC	0.987	0.92
WDR52	CESC	0.987	0.92
WWTR1	CESC	1.013	0.92
ZNF30	CESC	0.986	0.92
ZNF333	CESC	0.985	0.92
ZNF362	CESC	0.986	0.92
FAM229B	CESC	1.012	0.93
FBXO2	CESC	0.989	0.93
FUT10	CESC	1.011	0.93
IL1RL2	CESC	1.012	0.93
LAD1	CESC	0.989	0.93
MEX3B	CESC	1.012	0.93
PIK3C2B	CESC	0.988	0.93
SF1	CESC	0.988	0.93
SRC	CESC	0.99	0.93
STK40	CESC	1.012	0.93
TMEM145	CESC	1.012	0.93
TMEM194A	CESC	1.011	0.93
UBE2O	CESC	0.988	0.93
ZC3HC1	CESC	1.011	0.93
ZFP36L1	CESC	1.011	0.93
ZNHIT6	CESC	1.012	0.93
MCMBP	CESC	0.99	0.94
C12ORF36	CESC	0.99	0.94
SAMD15	CESC	1.01	0.94
SMIM15	CESC	0.991	0.94
CDV3	CESC	0.991	0.94
MICU3	CESC	1.01	0.94
EIF1AX	CESC	1.01	0.94
EMR1	CESC	0.99	0.94
EPHA2	CESC	0.99	0.94
ETS1	CESC	0.991	0.94
GLB1L	CESC	0.991	0.94
GSK3B	CESC	0.99	0.94
HOXD13	CESC	0.99	0.94
KCMF1	CESC	1.01	0.94
KLF9	CESC	0.99	0.94
LDB1	CESC	0.99	0.94
LPHN1	CESC	0.991	0.94
MSH6	CESC	0.99	0.94
NRBP1	CESC	1.011	0.94
NRIP1	CESC	1.01	0.94
PHF11	CESC	1.01	0.94
SPDYE3	CESC	0.991	0.94
TMEM163	CESC	1.011	0.94
TYW1B	CESC	1.01	0.94
XKR5	CESC	0.991	0.94
ZBTB7B	CESC	0.99	0.94
ZNF404	CESC	1.009	0.94
ZNF41	CESC	1.009	0.94
ZRANB2	CESC	1.01	0.94
C10ORF67	CESC	1.009	0.95
C1QL3	CESC	0.992	0.95
DAXX	CESC	0.991	0.95
DGAT1	CESC	0.992	0.95
EPYC	CESC	1.008	0.95
FAM115C	CESC	1.008	0.95
HERPUD1	CESC	1.009	0.95
KIT	CESC	1.008	0.95
LONRF2	CESC	1.01	0.95
LYSMD2	CESC	1.007	0.95
STEAP1B	CESC	0.992	0.95
MYCBP2	CESC	1.008	0.95
PALM3	CESC	0.992	0.95
PLAC8L1	CESC	0.991	0.95
PLAGL2	CESC	0.993	0.95
PTCH1	CESC	0.991	0.95
SIRPA	CESC	1.009	0.95
SP5	CESC	1.009	0.95
UBL3	CESC	1.009	0.95
ZNF157	CESC	1.008	0.95
ZNF547	CESC	0.993	0.95
ZNF570	CESC	1.007	0.95
ZFP69B	CESC	1.009	0.95
AKT3	CESC	0.993	0.96
AXIN1	CESC	0.994	0.96
C12ORF63	CESC	1.008	0.96
C12ORF68	CESC	0.994	0.96
CCDC39	CESC	0.993	0.96
FAM173A	CESC	0.994	0.96
MAP10	CESC	0.994	0.96
MRPS6	CESC	1.006	0.96
MTERF	CESC	0.993	0.96
ODF2L	CESC	0.994	0.96
OSBPL7	CESC	1.007	0.96
OXTR	CESC	1.006	0.96
PRDM2	CESC	0.994	0.96
SCNN1D	CESC	0.994	0.96
SHB	CESC	1.006	0.96
STAC	CESC	0.994	0.96
STAT6	CESC	1.006	0.96
SYT5	CESC	0.993	0.96
TLE1	CESC	0.993	0.96
ZNF34	CESC	0.993	0.96
APC	CESC	1.005	0.97
MSANTD2	CESC	1.005	0.97
DTD2	CESC	1.005	0.97
CIC	CESC	0.996	0.97
CSTF3	CESC	1.004	0.97
DNM2	CESC	1.004	0.97
DYNC2H1	CESC	0.994	0.97
EIF5A	CESC	1.005	0.97
ETNK1	CESC	0.995	0.97
LNP1	CESC	1.005	0.97
MAP2K4	CESC	0.995	0.97
MFN1	CESC	0.996	0.97
NCOA4	CESC	1.006	0.97
NEURL1B	CESC	0.994	0.97
RRP12	CESC	0.995	0.97
STAU2	CESC	1.004	0.97
TRAF3	CESC	0.996	0.97
VCPIP1	CESC	1.005	0.97
VNN2	CESC	1.005	0.97
VSIG2	CESC	1.005	0.97
ABCA4	CESC	0.997	0.98
AK9	CESC	1.004	0.98
C16ORF71	CESC	1.004	0.98
C17ORF82	CESC	0.997	0.98
C20ORF96	CESC	0.997	0.98
C5ORF22	CESC	1.003	0.98
CDH1	CESC	0.996	0.98
CRTAP	CESC	0.997	0.98
DNAJC27	CESC	1.003	0.98
DYX1C1	CESC	1.003	0.98
EIF2S2	CESC	1.003	0.98
LITAF	CESC	0.996	0.98
LMO1	CESC	0.996	0.98
LRIG3	CESC	0.996	0.98
METTL8	CESC	1.003	0.98
OR2A4	CESC	0.997	0.98
POU2F2	CESC	1.003	0.98
PRELID2	CESC	0.997	0.98
PTGIR	CESC	1.004	0.98
RGL2	CESC	1.003	0.98
RNF148	CESC	1.004	0.98
RYR3	CESC	1.003	0.98
SETD2	CESC	0.997	0.98
SLC35E4	CESC	0.996	0.98
SPATS2L	CESC	1.004	0.98
SV2B	CESC	1.004	0.98
TMEM67	CESC	1.003	0.98
USP1	CESC	1.003	0.98
ZNF506	CESC	0.997	0.98
ZNF558	CESC	1.004	0.98
ZNF835	CESC	1.004	0.98
ARHGEF12	CESC	1.002	0.99
CACFD1	CESC	1.002	0.99
CBLB	CESC	1.001	0.99
CCBP2	CESC	0.998	0.99
CCNB1IP1	CESC	1.002	0.99
DDX54	CESC	0.998	0.99
FAM19A2	CESC	0.998	0.99
PAXBP1	CESC	0.999	0.99
GLUD2	CESC	1.002	0.99
GPR162	CESC	0.999	0.99
NFKBIE	CESC	0.999	0.99
PPP2CA	CESC	1.001	0.99
SCARF1	CESC	1.002	0.99
TGIF1	CESC	1.002	0.99
THAP6	CESC	1.001	0.99
TMCO6	CESC	1.001	0.99
UBE3B	CESC	1.002	0.99
ZC4H2	CESC	1.002	0.99
ZSCAN9	CESC	0.998	0.99
ZNF45	CESC	0.998	0.99
ARID1A	CESC	1.0	1.0
BMS1	CESC	0.999	1.0
C4ORF33	CESC	1.0	1.0
CCNK	CESC	1.0	1.0
FAM90A1	CESC	0.999	1.0
FRY	CESC	1.0	1.0
HNRNPM	CESC	1.0	1.0
HOXD11	CESC	0.999	1.0
ITGB4	CESC	1.001	1.0
C16ORF96	CESC	1.0	1.0
LRP1	CESC	1.0	1.0
KAT6B	CESC	1.0	1.0
NCDN	CESC	1.001	1.0
NR4A2	CESC	1.0	1.0
SH2B3	CESC	1.001	1.0
SP140L	CESC	1.0	1.0
SSSCA1	CESC	1.001	1.0
TNNT2	CESC	1.0	1.0
TOMM7	CESC	1.001	1.0
ZNF114	CESC	0.999	1.0
ZNF37A	CESC	1.0	1.0
ZNF559	CESC	1.0	1.0
PGK1	BRCA	1.594	2.6E-6
TNFRSF14	BRCA	0.666	8.5E-6
IRF2	BRCA	0.687	3.3E-5
FAM159A	BRCA	0.684	5.0E-5
NME9	BRCA	0.693	5.8E-5
CYP27A1	BRCA	0.706	1.2E-4
MURC	BRCA	1.379	1.9E-4
ZBED6CL	BRCA	0.732	2.2E-4
APOOL	BRCA	1.393	3.0E-4
YIPF5	BRCA	1.379	3.3E-4
CASP9	BRCA	0.734	3.6E-4
FAM179A	BRCA	0.728	3.9E-4
PCDHGA11	BRCA	1.376	4.6E-4
C9ORF24	BRCA	0.739	5.0E-4
C1ORF173	BRCA	0.725	5.1E-4
DAPL1	BRCA	0.717	5.4E-4
ABHD14A	BRCA	0.735	5.6E-4
SGSH	BRCA	0.718	6.7E-4
SLC45A1	BRCA	0.729	7.0E-4
UGT3A2	BRCA	0.725	7.2E-4
HSP90AA1	BRCA	1.374	7.4E-4
CD79A	BRCA	0.747	8.6E-4
HYI	BRCA	0.755	0.001
CDRT4	BRCA	0.735	0.0011
DNAJC13	BRCA	1.352	0.0011
LGALS2	BRCA	0.739	0.0011
DTHD1	BRCA	0.737	0.0012
TVP23A	BRCA	0.742	0.0012
HEXDC	BRCA	0.739	0.0012
ZNF394	BRCA	0.743	0.0012
ADRB1	BRCA	0.747	0.0013
DCUN1D4	BRCA	1.337	0.0013
NFKBIA	BRCA	0.75	0.0013
GLI1	BRCA	0.736	0.0014
PTPN6	BRCA	0.758	0.0014
BTG2	BRCA	0.733	0.0015
C5ORF55	BRCA	0.749	0.0015
TMC7	BRCA	1.327	0.0015
TMEM31	BRCA	1.323	0.0015
MARS	BRCA	1.325	0.0016
PTGES3	BRCA	1.349	0.0016
VDAC1	BRCA	1.317	0.0016
CAMSAP1	BRCA	1.328	0.0017
IYD	BRCA	1.331	0.0017
ENC1	BRCA	1.331	0.0018
FSCN2	BRCA	0.749	0.0018
ARL14EP	BRCA	0.775	0.002
ZNF765	BRCA	1.325	0.002
PPP1R36	BRCA	0.763	0.0021
FLT3	BRCA	0.75	0.0021
XPOT	BRCA	1.329	0.0021
GPR126	BRCA	1.304	0.0022
NFKBIE	BRCA	0.768	0.0023
TESC	BRCA	0.74	0.0024
TMED7-TICAM2	BRCA	1.321	0.0024
TMEM151B	BRCA	0.744	0.0024
FAM166B	BRCA	0.763	0.0025
C7ORF55	BRCA	0.756	0.0026
APOBEC3F	BRCA	0.774	0.0027
KRTCAP3	BRCA	0.772	0.0027
SMIM4	BRCA	0.761	0.0027
NUP155	BRCA	1.308	0.0027
C1RL	BRCA	0.754	0.0028
CS	BRCA	1.313	0.0028
DAXX	BRCA	0.767	0.0028
DHRS12	BRCA	0.775	0.003
IARS	BRCA	1.288	0.003
LRRC48	BRCA	0.763	0.003
RDH14	BRCA	0.776	0.003
EFCAB12	BRCA	0.766	0.0031
ATPAF2	BRCA	0.765	0.0031
C12ORF61	BRCA	0.766	0.0031
ACTL8	BRCA	1.303	0.0032
PCP2	BRCA	0.758	0.0033
SATL1	BRCA	1.307	0.0035
HDAC2	BRCA	1.316	0.0036
LDLRAD3	BRCA	0.769	0.0036
SLC25A52	BRCA	1.276	0.0037
ZRSR2	BRCA	0.764	0.0037
MS4A8	BRCA	0.75	0.0038
SP5	BRCA	0.76	0.0038
GGCX	BRCA	1.293	0.0039
NHLRC4	BRCA	0.771	0.004
STIP1	BRCA	1.328	0.004
ACADSB	BRCA	0.766	0.0041
CCDC157	BRCA	0.767	0.0041
CD74	BRCA	0.781	0.0041
PSMB8	BRCA	0.78	0.0041
MMGT1	BRCA	1.275	0.0044
TMEM14B	BRCA	0.776	0.0044
ZNF19	BRCA	0.779	0.0045
CEL	BRCA	1.29	0.0046
CLEC17A	BRCA	0.755	0.0047
CD1B	BRCA	0.755	0.0049
QRFPR	BRCA	0.757	0.0049
RGS3	BRCA	1.275	0.0049
CDK8	BRCA	1.298	0.0051
THAP8	BRCA	0.776	0.0051
CDNF	BRCA	0.786	0.0053
TEX264	BRCA	0.778	0.0053
VHL	BRCA	1.259	0.0056
ZFC3H1	BRCA	1.279	0.0057
GNAI2	BRCA	0.79	0.0058
MYO15A	BRCA	0.77	0.0058
PLK1	BRCA	1.28	0.0058
SBSPON	BRCA	0.789	0.0059
TESPA1	BRCA	0.789	0.0059
ZNF611	BRCA	1.286	0.0059
CNGA4	BRCA	0.781	0.006
PTRHD1	BRCA	0.781	0.0061
DYX1C1	BRCA	0.794	0.0061
GPM6A	BRCA	0.772	0.0061
ABHD8	BRCA	0.777	0.0062
CCBL2	BRCA	0.793	0.0062
CCDC40	BRCA	0.771	0.0062
NTRK3	BRCA	0.776	0.0062
ZNF845	BRCA	1.287	0.0062
ZSCAN25	BRCA	0.777	0.0063
CASC5	BRCA	1.279	0.0064
CCDC88C	BRCA	0.769	0.0064
MAX	BRCA	0.781	0.0064
PIK3CA	BRCA	1.287	0.0065
ZNF347	BRCA	1.278	0.0066
FANCC	BRCA	1.274	0.0067
NUMA1	BRCA	0.775	0.0067
ADAM9	BRCA	1.265	0.0068
GPR171	BRCA	0.785	0.0072
ENKUR	BRCA	0.794	0.0073
SEC14L5	BRCA	0.793	0.0074
MED17	BRCA	1.283	0.0076
NDUFAF3	BRCA	0.793	0.0077
CCDC102B	BRCA	1.269	0.0078
POU2AF1	BRCA	0.783	0.0078
SS18L2	BRCA	0.789	0.0078
FAM181B	BRCA	0.782	0.008
ZNF468	BRCA	1.286	0.008
FAM199X	BRCA	1.262	0.0081
LRRC29	BRCA	0.788	0.0081
RPL11	BRCA	0.793	0.0081
B3GALT4	BRCA	0.789	0.0082
UBTF	BRCA	0.789	0.0082
ZNF674	BRCA	1.268	0.0083
BTG1	BRCA	0.79	0.0085
HLA-DQB2	BRCA	0.794	0.0085
FAM127C	BRCA	1.264	0.0087
NUDT18	BRCA	0.785	0.0087
PHLDB3	BRCA	0.782	0.0087
PLEKHA8P1	BRCA	1.269	0.009
C19ORF77	BRCA	0.789	0.0091
CYTH1	BRCA	0.789	0.0092
C8ORF33	BRCA	1.271	0.0093
CSNK1A1	BRCA	1.266	0.0093
LYRM5	BRCA	0.793	0.0093
SNX22	BRCA	0.789	0.0093
FBXO5	BRCA	1.278	0.0094
ARL16	BRCA	0.776	0.0095
TNFRSF17	BRCA	0.785	0.0095
ZNF853	BRCA	0.782	0.0095
CCDC12	BRCA	0.788	0.0096
ECHDC2	BRCA	0.775	0.0096
C11ORF35	BRCA	0.779	0.0097
C12ORF49	BRCA	1.263	0.0098
GTPBP4	BRCA	1.256	0.0098
NAA50	BRCA	1.276	0.0098
ZNF562	BRCA	1.251	0.0098
CCDC6	BRCA	1.265	0.0099
BUB1B	BRCA	1.266	0.01
FUZ	BRCA	0.794	0.01
