Gene	Cancer_median	Normal_median	TSG	OG	NG
FARS2	0.15	0.84	0	0	0
TMEM209	?	?	0	0	0
FKBP1B	?	?	0	0	0
C2ORF44	0.5	0.5	0	0	0
NUDT6	?	?	0	0	0
SPATA5	0.144	0.913	0	0	0
NOTCH3	0.82	0.252	0	0	0
SLC25A21	0.157	0.789	0	0	0
RECQL4	?	?	1	1	0
C6ORF125	0.5	0.5	0	0	0
LRRC40	0.5	0.5	0	0	0
SRSF11	0.1795	0.935	0	0	0
PTK2B	0.1565	0.927	0	0	0
KCNG3	0.15	0.5	0	0	1
SSR4	?	?	0	0	0
GALM	?	?	0	0	0
IDH3G	?	?	0	0	0
COMMD1	0.1405	0.81	0	0	0
C8ORF73	0.865	0.076	0	0	0
HIST1H4F	0.835	0.055	0	0	0
CDYL2	0.141	0.5	0	0	1
ZNF239	0.8285	0.363	0	0	0
FAM26E	0.1215	0.65	0	0	0
SORL1	0.116	0.657	0	0	0
ICOSLG	?	?	0	0	0
GEMIN6	?	?	0	0	0
KIF3A	?	?	0	0	0
DNAH2	0.152	0.946	0	0	0
FAM165B	?	?	0	0	0
NOP10	?	?	0	0	0
EME2	0.157	0.672	0	0	0
MRPS34	?	?	0	0	0
NDUFA8	?	?	0	0	0
SVIP	0.5	0.5	0	0	1
SEL1L	0.173	0.774	0	0	0
SPON2	0.5005000000000001	0.47400000000000003	0	0	0
C3ORF57	?	?	0	0	0
TCRBC2	0.117	0.702	0	0	0
BTN2A3	?	?	0	0	0
HSD17B4	0.89	0.366	0	0	0
DHX40	?	?	0	0	0
TRPV2	0.127	0.5	0	0	1
CRBN	0.5	0.5	0	0	0
RIN2	0.111	0.638	0	0	0
USP2	0.826	0.219	0	0	0
HDAC10	?	?	0	0	0
FAM73A	0.188	0.5	0	0	1
PLEKHG1	0.172	0.734	0	0	0
CAMK1	0.16	0.5	0	0	1
HIGD2A	?	?	0	0	0
NOP16	0.163	0.736	0	0	0
COQ7	?	?	0	0	1
OTX2	0.862	0.2	0	0	0
KIAA1409	0.146	0.862	0	0	0
BTBD7	0.17	0.871	0	0	0
ALG1	0.144	0.746	0	0	0
CDNF	0.16499999999999998	0.5	0	0	1
P2RX6	0.8394999999999999	0.3135	0	0	0
CCDC101	0.5	0.5	0	0	1
DMPK	0.9025000000000001	0.14	0	0	0
TXNL4B	0.5	0.5	0	0	0
DHX38	0.5	0.5	0	0	0
HAUS1	?	?	0	0	0
BCAS4	0.5	0.5	0	0	0
WDR13	0.138	0.5	0	0	1
SGSM3	?	?	0	0	0
OIP5	?	?	0	0	0
NUSAP1	?	?	0	0	0
C20ORF7	?	?	0	0	0
ESF1	?	?	0	0	0
MUTED	0.5	0.5	0	0	0
C18ORF19	?	?	0	0	0
RNMT	0.15	0.681	0	0	0
TRIM56	0.1575	0.752	0	0	0
DDX24	?	?	0	0	0
IFI27L1	?	?	0	0	0
RSPH4A	?	?	0	0	0
PDE4B	0.1605	0.773	0	0	0
CYP27A1	?	?	0	0	1
ZBTB39	?	?	0	0	0
NYNRIN	0.5	0.5	0	0	0
POFUT1	0.5	0.5	0	0	0
PLAGL2	?	?	0	0	0
FOXB1	0.843	0.145	0	0	0
SNPH	0.172	0.787	0	0	0
ZNF354B	?	?	0	0	1
IQGAP2	0.185	0.706	0	0	0
SLC25A20	?	?	0	0	0
RFC5	?	?	0	0	0
ZNF431	?	?	0	0	1
CLU	0.1675	0.858	0	0	0
PNO1	?	?	0	0	0
WDR92	?	?	0	0	0
SAAL1	?	?	0	0	1
KIF7	0.154	0.5	0	0	1
ZNF626	?	?	0	0	0
DTX3	0.163	0.773	0	0	0
FIZ1	?	?	0	0	0
CABYR	0.1525	0.89	0	0	0
GUCY1A2	0.154	0.89	0	0	0
NME4	?	?	0	0	1
ERP29	?	?	0	0	0
TMEM116	?	?	0	0	0
KLHL4	?	?	0	0	0
UBXN2B	?	?	0	0	0
BEX4	0.845	0.5	0	0	0
SFXN3	0.172	0.548	0	0	0
PDK3	0.06	0.573	0	0	0
PTER	?	?	0	0	0
VMAC	0.1815	0.5	0	0	1
NDUFA11	?	?	0	0	0
ARMC2	0.168	0.78	0	0	0
ERCC4	0.825	0.211	1	0	0
PDGFRL	0.157	0.688	0	0	0
NAPRT1	?	?	0	0	0
ZNF155	?	?	0	0	0
LDOC1	?	?	0	0	0
C17ORF28	0.86	0.32	0	0	0
NIPSNAP1	?	?	0	0	0
KBTBD3	0.1505	0.804	0	0	0
AASDHPPT	?	?	0	0	0
ZC3H8	?	?	0	0	0
ABLIM2	0.159	0.833	0	0	0
DHPS	?	?	0	0	0
PPIL3	?	?	0	0	0
NIF3L1	?	?	0	0	0
UTY	?	?	0	0	0
KLHL3	0.153	0.825	0	0	0
ZFP3	0.1865	0.883	0	0	0
MTM1	?	?	0	0	0
ZNF611	0.171	0.5	0	0	1
CMAS	?	?	0	0	0
ORC3	0.5	0.5	0	0	0
RARS2	?	?	0	0	0
KIAA0495	0.848	0.06	0	0	0
ADK	0.183	0.928	0	0	0
AP3M1	?	?	0	0	0
RMI2	0.15	0.5	1	0	0
RIPK1	0.5	0.5	0	0	0
MYEF2	0.17149999999999999	0.86	0	0	0
ZNF549	?	?	0	0	0
NME3	?	?	0	0	0
EBP	?	?	0	0	0
GPRASP1	0.835	0.249	0	0	1
FAM134C	0.5	0.5	0	0	0
TUBG1	?	?	0	0	0
POLR2I	?	?	0	0	0
TBCB	?	?	0	0	0
ZNF772	?	?	0	0	1
RTN4RL1	0.86	0.327	0	0	0
CYFIP2	0.141	0.684	0	0	0
NDOR1	0.18	0.779	0	0	0
TMEM203	?	?	0	0	1
CARD8	0.087	0.596	0	0	0
ZNF524	?	?	0	0	0
SIX3	0.857	0.207	0	0	0
ZNF483	0.175	0.867	0	0	0
VRK1	0.5	0.5	0	0	0
ATMIN	?	?	0	0	0
SPR	0.5	0.5	0	0	1
CDK5RAP3	?	?	0	0	0
GSTM3	?	?	0	0	0
ZNF563	?	?	0	0	0
MBLAC2	?	?	0	0	0
POLR3G	?	?	0	0	0
GALNTL2	0.801	0.18	0	0	0
EIF3G	0.123	0.735	0	0	0
NEDD8	?	?	0	0	0
GMPR2	0.188	0.925	0	0	0
UNC93B1	0.138	0.815	0	0	0
SOX7	0.8314999999999999	0.31	0	0	0
UBE2CBP	0.5	0.5	0	0	0
DOPEY1	?	?	0	0	0
TMEM56	0.136	0.5	0	0	0
EDARADD	0.1615	0.714	0	0	0
ADAMTS4	?	?	0	0	1
MEGF11	0.832	0.309	0	0	0
PODN	0.5	0.5	0	0	1
HVCN1	0.176	0.921	0	0	0
TMEM146	?	?	0	0	0
ANKAR	0.5	0.5	0	0	0
TRAIP	?	?	0	0	0
SACS	0.086	0.617	0	0	0
CAMK2N2	?	?	0	0	0
RANBP17	0.1585	0.905	0	0	0
SPATA13	0.195	0.625	0	0	0
LMAN2L	?	?	0	0	0
SEC16A	?	?	0	0	0
C9ORF163	?	?	0	0	1
UBXN11	0.034	0.571	0	0	0
RUFY3	0.882	0.377	0	0	0
SIPA1	0.92	0.409	0	0	0
MAN2B2	0.5	0.5	0	0	1
ANKMY1	0.904	0.38	0	0	0
URB2	0.1615	0.818	0	0	0
TAF5L	0.5	0.5	0	0	0
CALCRL	?	?	0	0	0
HCST	0.877	0.078	0	0	0
NHEDC1	?	?	0	0	0
ZNF707	?	?	0	0	0
ANXA3	?	?	0	0	0
KLHL18	0.823	0.055	0	0	0
KIF9	0.5	0.5	0	0	0
IL11	?	?	0	0	0
MAP9	0.152	0.932	0	0	0
DNAJC30	?	?	0	0	0
WBSCR22	?	?	0	0	0
BAD	0.5	0.5	0	0	0
PET112L	?	?	0	0	0
NAE1	0.155	0.769	0	0	0
RMND1	?	?	0	0	0
C6ORF211	?	?	0	0	0
SPC24	?	?	0	0	1
AK1	?	?	0	0	1
SHISA3	0.119	0.738	0	0	0
SNX8	0.1735	0.71	0	0	0
MKS1	?	?	0	0	1
STEAP3	0.178	0.88	0	0	0
PQBP1	?	?	0	0	0
PDRG1	?	?	0	0	0
C15ORF23	?	?	0	0	0
SCNM1	0.1855	0.737	0	0	0
NANOS1	0.182	0.76	0	0	0
ARFRP1	?	?	0	0	0
ZGPAT	?	?	0	0	0
TMEM30B	0.187	0.722	0	0	0
TPD52L1	0.07100000000000001	0.581	0	0	0
TMEM17	?	?	0	0	1
PRTFDC1	0.136	0.674	0	0	0
CDKAL1	0.15	0.796	0	0	0
C7ORF11	0.16899999999999998	0.878	0	0	0
C7ORF10	0.144	0.882	0	0	0
TSGA14	0.918	0.387	0	0	0
GDF5	0.858	0.15	0	0	1
FUCA1	0.171	0.736	0	0	0
SIM2	0.845	0.166	0	0	0
YPEL4	0.849	0.155	0	0	0
GANAB	?	?	0	0	0
GPR153	0.865	0.08	0	0	0
GALK2	0.5	0.5	0	0	0
LRCH2	0.164	0.5	0	0	1
GABRB1	0.833	0.089	0	0	0
TTC1	0.086	0.611	0	0	0
MYBPC2	0.158	0.5	0	0	1
UBL4A	0.1085	0.692	0	0	0
QSOX2	0.5	0.5	0	0	0
DDX47	?	?	0	0	0
ZCCHC4	0.164	0.5	0	0	1
LYSMD1	0.1315	0.723	0	0	0
PAPLN	0.846	0.309	0	0	0
PSTK	?	?	0	0	0
IFI30	?	?	0	0	0
NOMO2	?	?	0	0	1
TTC38	0.1195	0.806	0	0	0
GPR137	0.117	0.5	0	0	0
RBBP9	?	?	0	0	0
FGF13	0.169	0.798	0	0	0
CPM	0.1545	0.5	0	0	1
MAST4	0.846	0.303	0	0	0
DERA	0.15	0.672	0	0	0
ZCCHC17	?	?	0	0	0
SNRNP40	?	?	0	0	0
MNS1	?	?	0	0	1
BCKDHB	?	?	0	0	0
CDC6	0.103	0.625	0	0	0
SLC22A18	0.188	0.654	0	0	0
CPEB3	0.862	0.265	1	0	0
MARCH5	?	?	0	0	0
SLC43A3	0.128	0.56	0	0	0
CENPI	0.1495	0.813	0	0	0
DNAJC15	?	?	0	0	0
ARSK	0.5	0.5	0	0	0
TTC37	?	?	0	0	0
PAIP2B	?	?	0	0	0
PSMD13	?	?	0	0	0
SIRT3	0.16949999999999998	0.744	0	0	0
GJB2	0.825	0.282	0	0	0
MYOCD	0.156	0.881	0	0	0
SEMA4F	0.179	0.5	0	0	0
SHMT1	?	?	0	0	0
ZNF146	?	?	0	0	0
ZNF565	0.855	0.065	0	0	1
PPP1R14C	0.137	0.5	0	0	1
B3GALNT1	?	?	0	0	1
HINT2	?	?	0	0	0
SPAG8	?	?	0	0	0
ANAPC2	0.8354999999999999	0.133	0	0	0
SSNA1	?	?	0	0	1
CCDC115	?	?	0	0	0
IMP4	?	?	0	0	0
BORCS8-MEF2B	0.858	0.133	0	0	0
RFXANK	0.152	0.5	0	0	1
RBM45	0.5	0.5	0	0	1
DDX60	?	?	0	0	0
GRIN1	0.808	0.29	0	0	0
CORO1A	0.16	0.725	0	0	0
ATP2A1	0.823	0.5	0	0	0
FBXO15	0.1455	0.892	0	0	0
C18ORF55	?	?	0	0	0
NOSIP	0.18	0.5	0	0	1
PGBD1	0.5	0.5	0	0	1
UROS	?	?	0	0	0
BCCIP	?	?	0	0	0
ZBTB3	?	?	0	0	0
ING4	?	?	0	0	0
NEURL1B	0.898	0.366	0	0	1
ERI3	0.896	0.356	0	0	0
TBX6	0.1475	0.846	0	0	0
SGTB	?	?	0	0	0
SPTLC3	?	?	0	0	0
NLN	0.165	0.921	0	0	0
CACNA1G	0.159	0.757	0	0	0
WDR83	?	?	0	0	1
MAN2B1	0.8775	0.239	0	0	1
C19ORF56	0.5	0.5	0	0	0
TMEM175	0.894	0.306	0	0	0
GAK	0.117	0.609	0	0	0
ZFY	?	?	0	0	1
PER3	0.8865000000000001	0.369	0	0	0
VAT1L	0.151	0.5	0	0	1
NAP1L3	?	?	0	0	0
ASPHD1	0.1765	0.5	0	0	1
TMEM154	0.812	0.262	0	0	0
TTC26	?	?	0	0	0
CCL2	?	?	0	0	0
SATB1	0.143	0.853	0	0	0
FABP3	0.8234999999999999	0.275	0	0	0
SPEF2	0.127	0.5	0	0	1
PEX11A	0.5	0.5	0	0	0
BCAP31	?	?	0	0	0
NEK3	0.105	0.626	0	0	0
ZXDA	?	?	0	0	1
SSPN	0.168	0.666	0	0	0
ZNF582	?	?	0	0	0
SSTR2	0.831	0.031	0	0	0
ZNF589	0.16399999999999998	0.817	0	0	0
ZIK1	0.8245	0.197	0	0	0
ZNF189	?	?	0	0	0
MRPL50	0.8694999999999999	0.5	0	0	0
RAB33A	0.8205	0.292	0	0	0
TUBGCP4	0.8205	0.097	0	0	0
BLOC1S3	0.124	0.693	0	0	0
TRAPPC6A	0.5	0.5	0	0	0
CTU2	?	?	0	0	0
RNF166	0.5	0.5	0	0	0
SUSD1	0.896	0.371	0	0	0
ALX1	0.8245	0.106	0	0	0
ARL3	0.5	0.5	0	0	0
SFXN2	0.5	0.5	0	0	0
ZMAT2	0.5	0.5	0	0	0
PCOLCE2	0.8089999999999999	0.023	0	0	0
DOCK6	0.8574999999999999	0.38	0	0	0
PGCP	0.145	0.753	0	0	0
ESRP1	0.1385	0.803	0	0	0
RAD51C	?	?	0	0	0
MRTO4	?	?	0	0	0
KIAA0090	?	?	0	0	0
FMN1	0.159	0.81	0	0	0
SLC16A9	0.16	0.5	0	0	1
TM7SF2	0.5	0.5	0	0	0
VAMP5	?	?	0	0	1
SPOCK1	0.131	0.728	0	0	0
ZNF878	?	?	0	0	0
PROS1	0.164	0.911	0	0	0
ZNF737	?	?	0	0	0
ARAP3	?	?	0	0	0
ZNF275	0.5	0.5	0	0	0
YPEL3	0.854	0.317	0	0	0
ADAM23	0.149	0.808	0	0	0
GPNMB	0.1725	0.706	0	0	0
MRPS10	?	?	0	0	0
ACP1	0.14	0.767	0	0	0
TCN2	?	?	0	0	1
TMCO6	?	?	0	0	1
POLE2	?	?	0	0	0
PDCD11	?	?	0	0	0
USMG5	0.158	0.9279999999999999	0	0	0
TOP3B	?	?	0	0	0
RASGRP2	0.183	0.771	0	0	0
TOMM40L	?	?	0	0	0
IRF9	?	?	0	0	0
NLE1	?	?	0	0	0
LIPA	0.85	0.35	0	0	0
PQLC3	0.5	0.5	0	0	0
FAM126B	?	?	0	0	1
NDUFB3	?	?	0	0	0
DAK	0.5	0.5	0	0	0
DDB1	0.16	0.868	0	0	0
HIST1H4I	0.87	0.135	0	0	0
BBS2	0.8594999999999999	0.5	0	0	1
ZNF419	0.5	0.5	0	0	0
TMEM206	0.151	0.5	0	0	1
SUPT6H	0.1315	0.689	0	0	0
SDF2	?	?	0	0	0
NUBP1	0.5	0.5	0	0	0
VANGL2	0.194	0.5	0	0	1
GCDH	0.5	0.5	0	0	0
CLYBL	0.161	0.861	0	0	0
PPT1	?	?	0	0	0
SLC38A7	0.5	0.5	0	0	0
THBS3	?	?	0	0	0
ZNF880	?	?	0	0	1
MEA1	?	?	0	0	0
KLHDC3	0.837	0.172	0	0	0
EFR3B	0.179	0.87	0	0	0
CD14	0.839	0.259	0	0	0
GGA3	0.845	0.395	0	0	0
MRPS7	?	?	0	0	0
STK19	?	?	0	0	0
DOM3Z	0.16	0.686	0	0	0
DNAJC28	0.1665	0.78	0	0	0
OSBPL7	0.1675	0.5	0	0	1
COL24A1	0.163	0.831	0	0	0
L3MBTL2	0.8194999999999999	0.279	0	0	0
TMEM86A	0.17149999999999999	0.849	0	0	0
GPM6A	0.143	0.5	0	0	1
TCTN3	?	?	0	0	0
IMPDH2	?	?	0	0	0
DYNLT3	?	?	0	0	1
DGKQ	0.127	0.695	0	0	0
FNDC4	0.1465	0.5	0	0	1
SH3TC1	0.813	0.272	0	0	1
NTRK2	0.146	0.876	0	0	0
SLC39A11	0.15	0.68	0	0	0
SLITRK1	0.859	0.158	0	0	0
LRRC6	0.1395	0.753	0	0	0
MRPL52	?	?	0	0	0
PALB2	?	?	1	0	0
DCTN5	?	?	0	0	0
NLRP1	0.804	0.331	0	0	1
ZNF416	?	?	0	0	1
ZFP1	?	?	0	0	0
ZNF69	?	?	0	0	1
MCM2	0.154	0.826	0	0	0
C1ORF38	?	?	0	0	0
SH3YL1	0.153	0.88	0	0	0
ARAP2	0.5	0.5	0	0	0
SIL1	0.889	0.386	0	0	0
DDX3Y	?	?	0	0	0
TAP2	0.109	0.619	0	0	0
ACVRL1	0.16	0.808	0	0	0
ACADSB	?	?	0	0	1
IKZF5	?	?	0	0	0
IPO4	?	?	0	0	0
NOL12	0.133	0.5	0	0	1
C17ORF48	0.5	0.5	0	0	0
SCO1	?	?	0	0	0
CCT6A	?	?	0	0	0
PSPH	?	?	0	0	0
SLC46A1	0.91	0.398	0	0	0
SH3BP2	0.094	0.616	0	0	0
COL25A1	0.1535	0.5	0	0	1
CCDC53	?	?	0	0	0
TIMELESS	?	?	0	0	0
TMEM171	?	?	0	0	0
TTC28	0.1785	0.867	0	0	0
CSAD	0.5	0.5	0	0	0
ZNF740	0.5	0.5	0	0	0
ERCC2	0.093	0.5	1	0	0
C9ORF6	0.136	0.5	0	0	0
IKBKAP	?	?	0	0	0
C17ORF89	0.5	0.5	0	0	0
C17ORF56	?	?	0	0	0
IFT172	0.107	0.652	0	0	0
COG8	0.124	0.687	0	0	0
NIP7	?	?	0	0	0
CDK5RAP2	0.173	0.859	0	0	0
LYL1	0.83	0.092	0	1	0
DCTN3	?	?	0	0	0
CMBL	0.168	0.699	0	0	0
HCN3	?	?	0	0	0
ANKZF1	?	?	0	0	0
ATG9A	0.8174999999999999	0.0935	0	0	0
LMF1	0.169	0.698	0	0	0
ZNF493	?	?	0	0	1
EAF1	0.124	0.73	0	0	0
METTL6	?	?	0	0	0
ECHS1	0.5	0.5	0	0	0
ALG10B	?	?	0	0	1
IQSEC2	0.1375	0.962	0	0	0
COL19A1	0.135	0.898	0	0	0
PLEKHM3	0.1815	0.829	0	0	0
MCM3AP	0.0915	0.633	0	0	0
AARS2	0.5	0.5	0	0	0
N6AMT1	?	?	0	0	0
HIST1H4C	?	?	0	0	0
PVRL4	?	?	0	0	0
MON1A	?	?	0	0	0
TRMT2B	?	?	0	0	0
STAC	0.176	0.5	0	0	1
RARA	0.8274999999999999	0.241	0	1	0
ITFG1	0.158	0.826	0	0	0
PHKB	0.16	0.921	0	0	0
SEPN1	?	?	0	0	1
CENPL	0.149	0.801	0	0	0
DARS2	?	?	0	0	0
ARHGAP1	0.5	0.5	0	0	0
ZNF408	?	?	0	0	1
FAM50B	0.15150000000000002	0.5	0	0	1
C9ORF96	?	?	0	0	1
SURF4	?	?	0	0	0
CRYZ	0.8205	0.143	0	0	1
TYW3	?	?	0	0	0
IL17RD	0.822	0.318	0	0	0
AAMP	?	?	0	0	0
PNKD	0.159	0.691	0	0	0
EFHD1	0.801	0.318	0	0	0
TACSTD2	0.181	0.703	0	0	0
CLGN	0.85	0.241	0	0	0
VILL	0.855	0.303	0	0	1
LRRN1	0.146	0.814	0	0	0
IRAK3	0.1575	0.792	0	0	0
CMPK2	0.14	0.79	0	0	0
FAM19A2	0.151	0.704	0	0	0
ARHGEF7	0.126	0.753	0	0	0
GPR137C	?	?	0	0	0
TXNDC16	?	?	0	0	0
MGAT4A	0.119	0.722	0	0	0
SULF1	0.151	0.862	0	0	0
APOO	?	?	0	0	1
WRN	0.5	0.5	1	0	0
HSD17B14	?	?	0	0	0
MAPT	0.8265	0.266	0	0	0
PLEKHG4	0.1475	0.86	0	0	0
ZFP90	0.87	0.046	0	0	1
CCDC142	0.86	0.138	0	0	0
TTC31	?	?	0	0	1
NRIP3	0.151	0.786	0	0	0
CELF4	0.185	0.5	0	0	1
ZNF354A	?	?	0	0	0
PRRG4	?	?	0	0	0
SLC4A1AP	0.157	0.5	0	0	1
SUPT7L	0.034	0.845	0	0	0
PI4KA	0.16	0.814	0	0	0
SNAP29	?	?	0	0	0
EYA1	0.14	0.894	0	0	0
TNFAIP2	0.15	0.737	0	0	0
JAM3	0.1485	0.864	0	0	0
HELQ	?	?	0	0	0
MRPS18C	?	?	0	0	0
THOC7	0.8545	0.324	0	0	0
ATXN7	0.8145	0.265	0	0	0
ABCA2	0.162	0.735	0	0	0
DHRS13	0.155	0.782	0	0	0
LTC4S	?	?	0	0	0
PTGES2-AS1	?	?	0	0	0
ACO2	?	?	0	0	0
PTGES2	?	?	0	0	0
PHF5A	?	?	0	0	0
TXNRD3	0.1285	0.5	0	0	1
DNAH7	0.154	0.773	0	0	0
ORC1	?	?	0	0	1
PRPF38A	?	?	0	0	0
APCDD1	0.158	0.879	0	0	0
FGF20	0.1585	0.833	0	0	0
RELL2	0.187	0.871	0	0	0
HDAC3	?	?	0	0	0
CCDC88C	0.167	0.713	0	0	0
AXIN1	0.5	0.5	1	0	0
FBXO27	0.5	0.5	0	0	0
DUS3L	0.5	0.5	0	0	1
PTGS1	0.8425	0.016	0	0	0
ZSWIM7	?	?	0	0	1
TTC19	0.1525	0.769	0	0	0
UNC119	?	?	0	0	1
UTP14C	?	?	0	0	0
SLC22A17	0.823	0.212	0	0	0
POLE4	0.5	0.5	0	0	0
IFT27	?	?	0	0	1
MAU2	?	?	0	0	0
SUGP1	?	?	0	0	0
GSTM4	0.826	0.275	0	0	0
ERP44	0.173	0.791	0	0	0
INVS	?	?	0	0	0
EXOSC6	?	?	0	0	0
TMEM181	0.865	0.343	0	0	0
C1GALT1C1	?	?	0	0	0
KIAA1467	0.153	0.5	0	0	1
PTCD1	0.16949999999999998	0.5	0	0	0
CPSF4	0.5	0.5	0	0	0
NDUFAF2	?	?	0	0	0
ERCC8	?	?	0	0	0
SYT14	0.144	0.805	0	0	0
AP3B2	0.806	0.221	0	0	0
INCA1	0.854	0.052	0	0	0
NAALAD2	0.83	0.137	0	0	0
DHX16	0.5	0.5	0	0	0
TCTN1	?	?	0	0	0
C14ORF2	?	?	0	0	0
CCDC56	?	?	0	0	0
CCDC64	?	?	0	0	1
RBPMS2	0.924	0.5	0	0	0
NSUN5	0.196	0.5	0	0	0
SLC25A33	0.141	0.77	0	0	0
SCAMP4	0.5	0.5	0	0	0
ECE2	0.841	0.246	0	0	0
ALG3	?	?	0	0	0
TRIM6-TRIM34	0.1495	0.5	0	0	1
MYO19	?	?	0	0	0
PIGW	?	?	0	0	0
OSBP2	0.197	0.934	0	0	0
TCFL5	0.5	0.5	0	0	0
NPR1	0.829	0.037	0	0	0
GPR39	0.155	0.818	0	0	0
TMCO4	0.5	0.5	0	0	0
GDAP1	0.154	0.5	0	0	1
FBXL13	0.897	0.423	0	0	0
ARMC10	?	?	0	0	0
PAFAH2	0.5	0.5	0	0	0
ZNF85	?	?	0	0	0
KCNN1	0.154	0.5	0	0	1
SP140L	0.5	0.5	0	0	1
HMOX2	0.153	0.725	0	0	0
NMRAL1	0.172	0.827	0	0	0
PDCD2L	?	?	0	0	0
DUSP2	0.188	0.731	0	0	0
SLC9A9	0.1195	0.851	0	0	0
R3HCC1	0.163	0.691	0	0	0
CTSL2	0.88	0.346	0	0	0
SLC17A9	0.837	0.271	0	0	0
MREG	0.8545	0.223	0	0	1
MESP1	0.14350000000000002	0.5	0	0	1
ARHGAP19	?	?	0	0	0
DHX37	0.5	0.5	0	0	0
ADSSL1	0.092	0.593	0	0	0
NEUROG2	0.825	0.063	0	0	0
CNR1	0.165	0.5	0	0	1
TINAGL1	0.14	0.678	0	0	0
ZNF28	0.5	0.5	0	0	0
PICK1	0.5	0.5	0	0	0
ATP7B	0.16	0.888	0	0	0
EIF1AD	?	?	0	0	0
BANF1	?	?	0	0	0
SUMF1	0.159	0.759	0	0	0
RAB27B	?	?	0	0	0
OAS3	?	?	0	0	1
TUBG2	?	?	0	0	0
SLC2A9	0.838	0.191	0	0	1
ABCC3	0.177	0.8	0	0	0
GPR135	0.82	0.087	0	0	1
MED9	?	?	0	0	0
TATDN1	0.132	0.753	0	0	0
NDUFB9	0.1845	0.5	0	0	0
UGT8	0.819	0.244	0	0	0
NSA2	?	?	0	0	0
GFM2	?	?	0	0	0
TRUB2	?	?	0	0	1
COQ4	?	?	0	0	0
ADAMTS14	0.152	0.692	0	0	0
ZNF519	?	?	0	0	1
MZT1	?	?	0	0	1
ADCK2	0.5	0.5	0	0	0
C13ORF34	?	?	0	0	0
FRZB	0.834	0.274	0	0	0
NLRX1	0.5	0.5	0	0	0
IDS	?	?	0	0	1
PHF21B	0.129	0.821	0	0	0
GPKOW	0.5	0.5	0	0	1
PXMP4	0.16	0.753	0	0	0
SRPX2	?	?	0	0	0
ULBP3	?	?	0	0	0
DYSF	0.1725	0.779	0	0	0
TAF1C	?	?	0	0	0
IGFLR1	0.5	0.5	0	0	1
XRCC4	0.1645	0.878	0	0	0
TMEM167A	0.164	0.727	0	0	0
ZNF619	?	?	0	0	0
PPAPDC1A	0.17	0.723	0	0	0
OS9	?	?	0	0	0
THG1L	?	?	0	0	0
DDX49	?	?	0	0	0
COPE	0.5	0.5	0	0	0
PLXNA4	0.154	0.726	0	0	0
LIPE	0.173	0.5	0	0	1
FASTKD1	?	?	0	0	0
PFDN2	?	?	0	0	0
NIT1	0.1425	0.691	0	0	0
BIRC3	0.125	0.5	1	1	0
IGSF3	?	?	0	0	0
RNF123	0.853	0.326	0	0	0
MTCP1NB	?	?	0	0	0
BRCC3	?	?	0	0	0
ZNF530	0.835	0.143	0	0	0
B3GNT8	0.076	0.614	0	0	0
SH3D20	0.861	0.384	0	0	0
HRSP12	?	?	0	0	0
POP1	?	?	0	0	0
RHPN1	0.17	0.807	0	0	0
TTC25	0.877	0.344	0	0	0
FGF10	0.156	0.774	0	0	0
ENOX2	?	?	0	0	0
HMGN5	?	?	0	0	0
GLO1	0.5	0.5	0	0	0
C2ORF28	?	?	0	0	0
SLC5A6	0.159	0.746	0	0	0
ZNF273	0.8425	0.188	0	0	1
OSBPL10	0.169	0.727	0	0	0
E2F1	?	?	0	0	0
SLC2A4	?	?	0	0	0
ZNF862	0.1615	0.5	0	0	1
TRAK2	?	?	0	0	0
STRADB	0.14	0.767	0	0	0
PPFIA4	0.161	0.761	0	0	0
SH3BGRL	0.10200000000000001	0.617	0	0	0
TRPC6	0.1915	0.5	0	0	1
RASSF10	0.874	0.125	0	0	0
PLCE1	0.167	0.705	0	0	0
SPC25	0.111	0.663	0	0	0
MTRF1	?	?	0	0	0
KCNIP2	0.858	0.071	0	0	0
TMEM160	?	?	0	0	0
ECHDC2	0.119	0.5	0	0	1
RARRES1	0.128	0.627	0	0	0
PDZD7	0.193	0.78	0	0	0
EOMES	0.869	0.288	0	0	0
TAZ	0.0345	0.574	0	0	0
CPNE7	0.145	0.813	0	0	0
DPH2	?	?	0	0	0
C17ORF37	?	?	0	0	0
SERPING1	0.181	0.924	0	0	0
MSTO1	?	?	0	0	0
EXOC4	0.1575	0.761	0	0	0
ZNF138	?	?	0	0	1
ZNF773	0.1745	0.5	0	0	1
ZCRB1	?	?	0	0	0
PPHLN1	0.157	0.851	0	0	0
ZNF488	?	?	0	0	1
GSDMD	0.833	0.152	0	0	0
CLDN7	?	?	0	0	0
VPS37D	?	?	0	0	0
TREX1	0.823	0.012	0	0	1
SNAPIN	0.1525	0.5	0	0	0
NDUFC1	0.838	0.306	0	0	0
ZC3HC1	?	?	0	0	1
TRIM21	?	?	0	0	0
ZNF429	0.823	0.192	0	0	1
C15ORF38	0.5	0.5	0	0	1
EID2B	?	?	0	0	1
FOPNL	0.87	0.336	0	0	0
STYXL1	0.174	0.707	0	0	0
MDH2	?	?	0	0	0
MRPL41	?	?	0	0	0
ZNF678	0.5	0.5	0	0	0
ABCG2	0.1625	0.858	0	0	0
MCAT	?	?	0	0	0
GUCY1B3	0.815	0.146	0	0	1
SUGP2	?	?	0	0	0
ARMC6	?	?	0	0	1
HIST1H3I	?	?	0	0	0
