Gene	noncoding_mutation_rate	TSG	OG	NG
DPH1	1.90E-06	0	0	0
CEP76	2.65E-06	0	0	0
PSMG2	2.65E-06	0	0	0
CTF1	2.23E-06	0	0	0
FAHD1	2.19E-06	0	0	0
HAGH	2.19E-06	0	0	0
HLA-F	3.53E-06	0	0	0
ATP5H	2.59E-06	0	0	0
KCTD2	2.59E-06	0	0	0
SHCBP1	8.23E-06	0	0	0
RHEBL1	2.37E-06	0	0	0
GINS3	2.47E-06	0	0	0
IZUMO4	NA	0	0	0
POLA1	3.09E-06	0	0	0
PKN3	2.05E-06	0	0	0
ZNF100	6.63E-06	0	0	1
RNF121	3.97E-06	0	0	0
RP11-849H4.2	NA	0	0	0
YIF1B	2.43E-06	0	0	0
CA2	5.87E-06	0	0	1
ACSS3	4.89E-06	0	0	1
BTN3A3	4.54E-06	0	0	0
LIMK1	2.63E-06	0	0	0
TMX2	3.36E-06	0	0	0
MED19	3.30E-06	0	0	0
GPR19	2.54E-06	0	0	0
YBEY	NA	0	0	0
C2ORF56	2.13E-06	0	0	0
NDST2	1.91E-06	0	0	0
CEBPZ	2.13E-06	0	0	0
PIP5KL1	2.00E-06	0	0	0
DDX18	5.39E-06	0	0	0
C14ORF126	2.23E-06	0	0	0
TMEM38A	2.35E-06	0	0	0
WDR34	2.04E-06	0	0	0
RNF182	2.75E-06	0	0	0
VPS25	2.11E-06	0	0	0
PMM2	3.14E-06	0	0	0
TMEM186	3.20E-06	0	0	0
RBP1	3.81E-06	0	0	0
MOSPD1	2.33E-06	0	0	0
PRPF18	2.86E-06	0	0	0
FCGRT	2.69E-06	0	0	0
DDX19B	3.51E-06	0	0	0
DGCR6	3.32E-06	0	0	1
ERAP2	2.25E-06	0	0	0
OSCP1	2.47E-06	0	0	0
GNG3	2.66E-06	0	0	0
SYNJ2BP	2.82E-06	0	0	0
HDHD3	2.33E-06	0	0	0
TMEM173	1.70E-06	0	0	0
SP5	2.19E-06	0	0	1
CTSO	4.78E-06	0	0	0
BSCL2	2.66E-06	0	0	0
RFTN2	3.10E-06	0	0	1
ARL9	2.77E-06	0	0	1
RBM41	2.52E-06	0	0	0
ABCC9	4.00E-06	0	0	1
CNKSR2	3.44E-06	0	0	0
ZNF286A	3.22E-06	0	0	0
EIF2D	NA	0	0	0
COX11	3.98E-06	0	0	0
STXBP4	3.72E-06	0	0	0
LYRM4	2.57E-06	0	0	0
FARS2	2.80E-06	0	0	0
TMEM209	2.16E-06	0	0	0
FKBP1B	1.98E-06	0	0	0
C2ORF44	1.98E-06	0	0	0
NUDT6	2.66E-06	0	0	0
SPATA5	2.53E-06	0	0	0
NOTCH3	3.31E-06	0	0	0
SLC25A21	2.80E-06	0	0	0
RECQL4	3.57E-06	1	1	0
C6ORF125	2.60E-06	0	0	0
LRRC40	4.64E-06	0	0	0
SRSF11	NA	0	0	0
PTK2B	2.32E-06	0	0	0
KCNG3	1.96E-06	0	0	1
SSR4	2.68E-06	0	0	0
GALM	1.63E-06	0	0	0
IDH3G	2.68E-06	0	0	0
COMMD1	2.29E-06	0	0	0
C8ORF73	3.76E-06	0	0	0
HIST1H4F	4.00E-06	0	0	0
CDYL2	3.02E-06	0	0	1
ZNF239	3.78E-06	0	0	0
FAM26E	2.91E-06	0	0	0
SORL1	3.56E-06	0	0	0
ICOSLG	2.80E-06	0	0	0
GEMIN6	1.64E-06	0	0	0
KIF3A	1.69E-06	0	0	0
DNAH2	2.30E-06	0	0	0
FAM165B	2.39E-06	0	0	0
NOP10	2.83E-06	0	0	0
EME2	2.19E-06	0	0	0
MRPS34	2.19E-06	0	0	0
NDUFA8	2.58E-06	0	0	0
SVIP	5.39E-06	0	0	1
SEL1L	3.86E-06	0	0	0
SPON2	2.88E-06	0	0	0
C3ORF57	4.43E-06	0	0	0
TCRBC2	NA	0	0	0
BTN2A3	NA	0	0	0
HSD17B4	3.08E-06	0	0	0
DHX40	2.32E-06	0	0	0
TRPV2	2.61E-06	0	0	1
CRBN	4.94E-06	0	0	0
RIN2	2.88E-06	0	0	0
USP2	2.15E-06	0	0	0
HDAC10	NA	0	0	0
FAM73A	2.99E-06	0	0	1
PLEKHG1	2.46E-06	0	0	0
CAMK1	2.13E-06	0	0	1
HIGD2A	3.26E-06	0	0	0
NOP16	3.26E-06	0	0	0
COQ7	3.13E-06	0	0	1
OTX2	2.99E-06	0	0	0
KIAA1409	2.77E-06	0	0	0
BTBD7	2.69E-06	0	0	0
ALG1	2.81E-06	0	0	0
CDNF	3.08E-06	0	0	1
P2RX6	4.16E-06	0	0	0
CCDC101	NA	0	0	1
DMPK	2.16E-06	0	0	0
TXNL4B	2.39E-06	0	0	0
DHX38	2.39E-06	0	0	0
HAUS1	3.02E-06	0	0	0
BCAS4	2.45E-06	0	0	0
WDR13	2.91E-06	0	0	1
SGSM3	2.30E-06	0	0	0
OIP5	1.83E-06	0	0	0
NUSAP1	1.83E-06	0	0	0
C20ORF7	3.45E-06	0	0	0
ESF1	3.43E-06	0	0	0
MUTED	2.80E-06	0	0	0
C18ORF19	4.76E-06	0	0	0
RNMT	5.04E-06	0	0	0
TRIM56	3.04E-06	0	0	0
DDX24	3.04E-06	0	0	0
IFI27L1	3.04E-06	0	0	0
RSPH4A	3.05E-06	0	0	0
PDE4B	3.72E-06	0	0	0
CYP27A1	2.08E-06	0	0	1
ZBTB39	2.20E-06	0	0	0
NYNRIN	2.23E-06	0	0	0
POFUT1	2.39E-06	0	0	0
PLAGL2	2.43E-06	0	0	0
FOXB1	2.50E-06	0	0	0
SNPH	2.90E-06	0	0	0
ZNF354B	3.28E-06	0	0	1
IQGAP2	3.07E-06	0	0	0
SLC25A20	1.82E-06	0	0	0
RFC5	3.60E-06	0	0	0
ZNF431	4.79E-06	0	0	1
CLU	2.12E-06	0	0	0
PNO1	2.87E-06	0	0	0
WDR92	2.90E-06	0	0	0
SAAL1	2.50E-06	0	0	1
KIF7	2.41E-06	0	0	1
ZNF626	4.69E-06	0	0	0
DTX3	2.28E-06	0	0	0
FIZ1	3.77E-06	0	0	0
CABYR	2.58E-06	0	0	0
GUCY1A2	4.70E-06	0	0	0
NME4	3.39E-06	0	0	1
ERP29	2.19E-06	0	0	0
TMEM116	2.19E-06	0	0	0
KLHL4	7.13E-06	0	0	0
UBXN2B	4.08E-06	0	0	0
BEX4	2.87E-06	0	0	0
SFXN3	1.92E-06	0	0	0
PDK3	2.34E-06	0	0	0
PTER	4.70E-06	0	0	0
VMAC	2.71E-06	0	0	1
NDUFA11	2.69E-06	0	0	0
ARMC2	1.71E-06	0	0	0
ERCC4	2.77E-06	1	0	0
PDGFRL	2.01E-06	0	0	0
NAPRT1	3.76E-06	0	0	0
ZNF155	3.15E-06	0	0	0
LDOC1	5.81E-06	0	0	0
C17ORF28	2.64E-06	0	0	0
NIPSNAP1	2.07E-06	0	0	0
KBTBD3	4.58E-06	0	0	0
AASDHPPT	4.58E-06	0	0	0
ZC3H8	3.05E-06	0	0	0
ABLIM2	2.36E-06	0	0	0
DHPS	2.84E-06	0	0	0
PPIL3	1.98E-06	0	0	0
NIF3L1	1.98E-06	0	0	0
UTY	NA	0	0	0
KLHL3	2.46E-06	0	0	0
ZFP3	2.23E-06	0	0	0
MTM1	2.54E-06	0	0	0
ZNF611	4.22E-06	0	0	1
CMAS	3.71E-06	0	0	0
ORC3	NA	0	0	0
RARS2	2.75E-06	0	0	0
KIAA0495	2.29E-06	0	0	0
ADK	1.83E-06	0	0	0
AP3M1	1.92E-06	0	0	0
RMI2	NA	1	0	0
RIPK1	2.19E-06	0	0	0
MYEF2	3.20E-06	0	0	0
ZNF549	3.35E-06	0	0	0
NME3	2.19E-06	0	0	0
EBP	2.88E-06	0	0	0
GPRASP1	3.68E-06	0	0	1
FAM134C	2.06E-06	0	0	0
TUBG1	2.06E-06	0	0	0
POLR2I	3.03E-06	0	0	0
TBCB	3.03E-06	0	0	0
ZNF772	3.57E-06	0	0	1
RTN4RL1	1.92E-06	0	0	0
CYFIP2	3.17E-06	0	0	0
NDOR1	4.58E-06	0	0	0
TMEM203	4.35E-06	0	0	1
CARD8	2.77E-06	0	0	0
ZNF524	3.77E-06	0	0	0
SIX3	2.53E-06	0	0	0
ZNF483	2.33E-06	0	0	0
VRK1	3.56E-06	0	0	0
ATMIN	2.59E-06	0	0	0
SPR	2.35E-06	0	0	1
CDK5RAP3	2.48E-06	0	0	0
GSTM3	1.66E-06	0	0	0
ZNF563	2.90E-06	0	0	0
MBLAC2	3.34E-06	0	0	0
POLR3G	3.25E-06	0	0	0
GALNTL2	2.58E-06	0	0	0
EIF3G	2.39E-06	0	0	0
NEDD8	2.22E-06	0	0	0
GMPR2	2.22E-06	0	0	0
UNC93B1	3.95E-06	0	0	0
SOX7	2.72E-06	0	0	0
UBE2CBP	3.42E-06	0	0	0
DOPEY1	3.48E-06	0	0	0
TMEM56	2.53E-06	0	0	0
EDARADD	3.72E-06	0	0	0
ADAMTS4	3.35E-06	0	0	1
MEGF11	2.02E-06	0	0	0
PODN	2.01E-06	0	0	1
HVCN1	2.64E-06	0	0	0
TMEM146	2.62E-06	0	0	0
ANKAR	2.44E-06	0	0	0
TRAIP	1.62E-06	0	0	0
SACS	3.37E-06	0	0	0
CAMK2N2	NA	0	0	0
RANBP17	2.71E-06	0	0	0
SPATA13	2.79E-06	0	0	0
LMAN2L	2.66E-06	0	0	0
SEC16A	2.72E-06	0	0	0
C9ORF163	2.72E-06	0	0	1
UBXN11	1.58E-06	0	0	0
RUFY3	2.98E-06	0	0	0
SIPA1	2.04E-06	0	0	0
MAN2B2	2.12E-06	0	0	1
ANKMY1	2.87E-06	0	0	0
URB2	2.78E-06	0	0	0
TAF5L	2.78E-06	0	0	0
CALCRL	4.14E-06	0	0	0
HCST	2.63E-06	0	0	0
NHEDC1	3.46E-06	0	0	0
ZNF707	3.60E-06	0	0	0
ANXA3	2.32E-06	0	0	0
KLHL18	1.61E-06	0	0	0
KIF9	1.61E-06	0	0	0
IL11	3.90E-06	0	0	0
MAP9	4.79E-06	0	0	0
DNAJC30	6.25E-06	0	0	0
WBSCR22	5.71E-06	0	0	0
BAD	2.17E-06	0	0	0
PET112L	2.41E-06	0	0	0
NAE1	1.79E-06	0	0	0
RMND1	3.44E-06	0	0	0
C6ORF211	3.44E-06	0	0	0
SPC24	2.21E-06	0	0	0
AK1	2.00E-06	0	0	1
SHISA3	4.40E-06	0	0	0
SNX8	2.73E-06	0	0	0
MKS1	2.24E-06	0	0	1
STEAP3	3.60E-06	0	0	0
PQBP1	3.26E-06	0	0	0
PDRG1	2.83E-06	0	0	0
C15ORF23	1.98E-06	0	0	0
SCNM1	2.47E-06	0	0	0
NANOS1	2.28E-06	0	0	0
ARFRP1	6.51E-06	0	0	0
ZGPAT	6.51E-06	0	0	0
TMEM30B	2.18E-06	0	0	0
TPD52L1	3.92E-06	0	0	0
TMEM17	2.31E-06	0	0	1
PRTFDC1	3.10E-06	0	0	0
CDKAL1	2.53E-06	0	0	0
C7ORF11	3.86E-06	0	0	0
C7ORF10	4.83E-06	0	0	0
TSGA14	2.21E-06	0	0	0
GDF5	2.31E-06	0	0	1
FUCA1	1.90E-06	0	0	0
SIM2	2.18E-06	0	0	0
YPEL4	3.30E-06	0	0	0
GANAB	2.61E-06	0	0	0
GPR153	2.09E-06	0	0	0
GALK2	2.57E-06	0	0	0
LRCH2	3.66E-06	0	0	1
GABRB1	5.50E-06	0	0	0
TTC1	2.66E-06	0	0	0
MYBPC2	3.29E-06	0	0	1
UBL4A	2.83E-06	0	0	0
QSOX2	2.78E-06	0	0	0
DDX47	2.61E-06	0	0	0
ZCCHC4	1.78E-06	0	0	1
LYSMD1	2.47E-06	0	0	0
PAPLN	2.40E-06	0	0	0
PSTK	2.85E-06	0	0	0
IFI30	2.53E-06	0	0	0
NOMO2	4.88E-06	0	0	1
TTC38	2.29E-06	0	0	0
GPR137	2.17E-06	0	0	0
RBBP9	3.11E-06	0	0	0
FGF13	5.05E-06	0	0	0
CPM	2.64E-06	0	0	0
MAST4	2.23E-06	0	0	0
DERA	2.72E-06	0	0	0
ZCCHC17	1.98E-06	0	0	0
SNRNP40	2.02E-06	0	0	0
MNS1	2.46E-06	0	0	1
BCKDHB	3.23E-06	0	0	0
CDC6	2.15E-06	0	0	0
SLC22A18	3.12E-06	0	0	0
CPEB3	2.10E-06	1	0	0
MARCH5	1.66E-06	0	0	0
SLC43A3	3.26E-06	0	0	0
CENPI	2.72E-06	0	0	0
DNAJC15	2.97E-06	0	0	0
ARSK	2.52E-06	0	0	0
TTC37	2.58E-06	0	0	0
PAIP2B	2.73E-06	0	0	0
PSMD13	3.24E-06	0	0	0
SIRT3	3.24E-06	0	0	0
GJB2	2.62E-06	0	0	0
MYOCD	3.91E-06	0	0	0
SEMA4F	2.26E-06	0	0	0
SHMT1	3.50E-06	0	0	0
ZNF146	3.17E-06	0	0	0
ZNF565	3.10E-06	0	0	1
PPP1R14C	2.36E-06	0	0	1
B3GALNT1	3.84E-06	0	0	1
HINT2	1.95E-06	0	0	0
SPAG8	1.95E-06	0	0	0
ANAPC2	4.13E-06	0	0	0
SSNA1	4.13E-06	0	0	1
CCDC115	5.18E-06	0	0	0
IMP4	5.00E-06	0	0	0
BORCS8-MEF2B	NA	0	0	0
RFXANK	2.18E-06	0	0	1
RBM45	2.82E-06	0	0	0
DDX60	3.34E-06	0	0	0
GRIN1	4.13E-06	0	0	0
CORO1A	NA	0	0	0
ATP2A1	5.43E-06	0	0	0
FBXO15	3.21E-06	0	0	0
C18ORF55	3.07E-06	0	0	0
NOSIP	2.69E-06	0	0	1
PGBD1	4.33E-06	0	0	1
UROS	3.41E-06	0	0	0
BCCIP	3.47E-06	0	0	0
ZBTB3	2.73E-06	0	0	0
ING4	2.47E-06	0	0	0
NEURL1B	NA	0	0	1
ERI3	1.89E-06	0	0	0
TBX6	2.40E-06	0	0	0
SGTB	2.45E-06	0	0	0
SPTLC3	4.46E-06	0	0	0
NLN	2.43E-06	0	0	0
CACNA1G	1.97E-06	0	0	0
WDR83	2.84E-06	0	0	1
MAN2B1	2.84E-06	0	0	1
C19ORF56	NA	0	0	0
TMEM175	2.89E-06	0	0	0
GAK	2.96E-06	0	0	0
ZFY	NA	0	0	1
PER3	1.98E-06	0	0	0
VAT1L	4.26E-06	0	0	1
NAP1L3	6.90E-06	0	0	0
ASPHD1	NA	0	0	1
TMEM154	1.92E-06	0	0	0
TTC26	2.51E-06	0	0	0
CCL2	4.22E-06	0	0	0
SATB1	3.70E-06	0	0	0
FABP3	1.95E-06	0	0	0
SPEF2	4.65E-06	0	0	1
PEX11A	2.36E-06	0	0	0
BCAP31	2.68E-06	0	0	0
NEK3	2.85E-06	0	0	0
ZXDA	4.62E-06	0	0	1
SSPN	2.85E-06	0	0	0
ZNF582	4.64E-06	0	0	0
SSTR2	2.50E-06	0	0	0
ZNF589	1.64E-06	0	0	0
ZIK1	3.26E-06	0	0	0
ZNF189	3.95E-06	0	0	0
MRPL50	3.95E-06	0	0	0
RAB33A	2.70E-06	0	0	0
TUBGCP4	2.14E-06	0	0	0
BLOC1S3	2.31E-06	0	0	0
TRAPPC6A	2.31E-06	0	0	0
CTU2	8.05E-06	0	0	0
RNF166	8.05E-06	0	0	0
SUSD1	1.80E-06	0	0	0
ALX1	4.52E-06	0	0	0
ARL3	1.67E-06	0	0	0
SFXN2	1.67E-06	0	0	0
ZMAT2	2.36E-06	0	0	0
PCOLCE2	2.83E-06	0	0	0
DOCK6	2.27E-06	0	0	0
PGCP	3.93E-06	0	0	0
ESRP1	2.78E-06	0	0	0
RAD51C	2.38E-06	0	0	0
MRTO4	1.77E-06	0	0	0
KIAA0090	1.77E-06	0	0	0
FMN1	3.32E-06	0	0	0
SLC16A9	2.49E-06	0	0	1
TM7SF2	2.10E-06	0	0	0
VAMP5	1.76E-06	0	0	1
SPOCK1	3.08E-06	0	0	0
ZNF878	2.85E-06	0	0	0
PROS1	6.23E-06	0	0	0
ZNF737	NA	0	0	0
ARAP3	2.06E-06	0	0	0
ZNF275	2.69E-06	0	0	0
YPEL3	2.29E-06	0	0	0
ADAM23	3.35E-06	0	0	0
GPNMB	3.14E-06	0	0	0
MRPS10	2.33E-06	0	0	0
ACP1	5.04E-06	0	0	0
TCN2	1.96E-06	0	0	1
TMCO6	2.36E-06	0	0	1
POLE2	2.66E-06	0	0	0
PDCD11	1.64E-06	0	0	0
USMG5	1.63E-06	0	0	0
TOP3B	4.34E-06	0	0	0
RASGRP2	2.15E-06	0	0	0
TOMM40L	3.37E-06	0	0	0
IRF9	2.23E-06	0	0	0
NLE1	2.92E-06	0	0	0
LIPA	1.95E-06	0	0	0
PQLC3	2.18E-06	0	0	0
FAM126B	2.01E-06	0	0	1
NDUFB3	2.02E-06	0	0	0
DAK	2.20E-06	0	0	0
DDB1	2.24E-06	0	0	0
HIST1H4I	5.36E-06	0	0	0
BBS2	2.26E-06	0	0	1
ZNF419	3.46E-06	0	0	0
TMEM206	2.46E-06	0	0	1
SUPT6H	2.21E-06	0	0	0
SDF2	2.22E-06	0	0	0
NUBP1	1.98E-06	0	0	0
VANGL2	2.81E-06	0	0	0
GCDH	2.83E-06	0	0	0
CLYBL	2.59E-06	0	0	0
PPT1	2.16E-06	0	0	0
SLC38A7	3.32E-06	0	0	0
THBS3	2.35E-06	0	0	0
ZNF880	3.67E-06	0	0	1
MEA1	2.22E-06	0	0	0
KLHDC3	2.22E-06	0	0	0
EFR3B	NA	0	0	0
CD14	2.36E-06	0	0	0
GGA3	2.46E-06	0	0	0
MRPS7	2.46E-06	0	0	0
STK19	2.39E-06	0	0	0
DOM3Z	2.39E-06	0	0	0
DNAJC28	2.11E-06	0	0	0
OSBPL7	2.45E-06	0	0	1
COL24A1	2.86E-06	0	0	0
L3MBTL2	2.27E-06	0	0	0
TMEM86A	2.81E-06	0	0	0
GPM6A	5.77E-06	0	0	1
TCTN3	1.97E-06	0	0	0
IMPDH2	1.83E-06	0	0	0
DYNLT3	3.10E-06	0	0	1
DGKQ	2.89E-06	0	0	0
FNDC4	1.85E-06	0	0	1
SH3TC1	2.35E-06	0	0	1
NTRK2	2.99E-06	0	0	0
SLC39A11	2.48E-06	0	0	0
SLITRK1	7.28E-06	0	0	0
LRRC6	4.17E-06	0	0	0
MRPL52	2.15E-06	0	0	0
PALB2	2.86E-06	1	0	0
DCTN5	2.86E-06	0	0	0
NLRP1	2.71E-06	0	0	1
ZNF416	3.35E-06	0	0	1
ZFP1	2.56E-06	0	0	0
ZNF69	2.78E-06	0	0	1
MCM2	2.76E-06	0	0	0
C1ORF38	1.57E-06	0	0	0
SH3YL1	5.04E-06	0	0	0
ARAP2	4.65E-06	0	0	0
SIL1	1.80E-06	0	0	0
DDX3Y	NA	0	0	0
TAP2	2.93E-06	0	0	0
ACVRL1	2.17E-06	0	0	0
ACADSB	2.89E-06	0	0	1
IKZF5	2.85E-06	0	0	0
IPO4	2.23E-06	0	0	0
NOL12	2.17E-06	0	0	1
C17ORF48	3.21E-06	0	0	0
SCO1	3.21E-06	0	0	0
CCT6A	7.01E-06	0	0	0
PSPH	6.66E-06	0	0	0
SLC46A1	2.34E-06	0	0	0
SH3BP2	1.73E-06	0	0	0
COL25A1	2.92E-06	0	0	1
CCDC53	3.13E-06	0	0	0
TIMELESS	2.29E-06	0	0	0
TMEM171	1.89E-06	0	0	0
TTC28	NA	0	0	0
CSAD	2.01E-06	0	0	0
ZNF740	2.01E-06	0	0	0
ERCC2	2.12E-06	1	0	0
C9ORF6	2.22E-06	0	0	0
IKBKAP	2.24E-06	0	0	0
C17ORF89	NA	0	0	0
C17ORF56	NA	0	0	0
IFT172	1.87E-06	0	0	0
COG8	2.00E-06	0	0	0
NIP7	2.00E-06	0	0	0
CDK5RAP2	2.73E-06	0	0	0
LYL1	2.81E-06	0	1	0
DCTN3	2.14E-06	0	0	0
CMBL	3.98E-06	0	0	0
HCN3	2.30E-06	0	0	0
ANKZF1	2.22E-06	0	0	0
ATG9A	2.18E-06	0	0	0
LMF1	2.76E-06	0	0	0
ZNF493	5.20E-06	0	0	1
EAF1	2.26E-06	0	0	0
METTL6	2.26E-06	0	0	0
ECHS1	4.41E-06	0	0	0
ALG10B	7.33E-06	0	0	1
IQSEC2	3.10E-06	0	0	0
COL19A1	3.62E-06	0	0	0
PLEKHM3	2.33E-06	0	0	0
MCM3AP	NA	0	0	0
AARS2	2.63E-06	0	0	0
N6AMT1	2.49E-06	0	0	0
HIST1H4C	3.66E-06	0	0	0
PVRL4	3.26E-06	0	0	0
MON1A	1.57E-06	0	0	0
TRMT2B	2.65E-06	0	0	0
STAC	4.03E-06	0	0	1
RARA	2.18E-06	0	1	0
ITFG1	2.75E-06	0	0	0
PHKB	2.80E-06	0	0	0
SEPN1	1.52E-06	0	0	1
CENPL	3.39E-06	0	0	0
DARS2	3.40E-06	0	0	0
ARHGAP1	2.04E-06	0	0	0
ZNF408	2.03E-06	0	0	1
FAM50B	2.32E-06	0	0	1
C9ORF96	2.47E-06	0	0	1
SURF4	2.47E-06	0	0	0
CRYZ	6.12E-06	0	0	1
TYW3	6.19E-06	0	0	0
IL17RD	2.06E-06	0	0	0
AAMP	2.12E-06	0	0	0
PNKD	2.11E-06	0	0	0
EFHD1	2.44E-06	0	0	0
TACSTD2	2.16E-06	0	0	0
CLGN	2.59E-06	0	0	0
VILL	1.90E-06	0	0	1
LRRN1	3.83E-06	0	0	0
IRAK3	3.25E-06	0	0	0
CMPK2	5.28E-06	0	0	0
FAM19A2	5.64E-06	0	0	0
ARHGEF7	3.40E-06	0	0	0
GPR137C	2.60E-06	0	0	0
TXNDC16	2.68E-06	0	0	0
MGAT4A	2.48E-06	0	0	0
SULF1	5.30E-06	0	0	0
APOO	2.19E-06	0	0	1
WRN	3.33E-06	1	0	0
HSD17B14	2.70E-06	0	0	0
MAPT	3.76E-06	0	0	0
PLEKHG4	1.56E-06	0	0	0
ZFP90	1.78E-06	0	0	1
CCDC142	2.08E-06	0	0	0
TTC31	2.11E-06	0	0	1
NRIP3	2.34E-06	0	0	0
CELF4	4.38E-06	0	0	1
ZNF354A	3.21E-06	0	0	0
PRRG4	3.01E-06	0	0	0
SLC4A1AP	1.83E-06	0	0	1
SUPT7L	1.84E-06	0	0	0
PI4KA	4.57E-06	0	0	0
SNAP29	4.39E-06	0	0	0
EYA1	4.66E-06	0	0	0
TNFAIP2	2.22E-06	0	0	0
JAM3	4.58E-06	0	0	0
HELQ	2.63E-06	0	0	0
MRPS18C	2.63E-06	0	0	0
THOC7	2.45E-06	0	0	0
ATXN7	2.40E-06	0	0	0
ABCA2	3.76E-06	0	0	0
DHRS13	2.17E-06	0	0	0
LTC4S	3.07E-06	0	0	0
PTGES2-AS1	NA	0	0	0
ACO2	2.31E-06	0	0	0
PTGES2	2.00E-06	0	0	0
PHF5A	2.31E-06	0	0	0
TXNRD3	NA	0	0	1
DNAH7	3.07E-06	0	0	0
ORC1	NA	0	0	1
PRPF38A	1.83E-06	0	0	0
APCDD1	3.00E-06	0	0	0
FGF20	2.97E-06	0	0	0
RELL2	2.06E-06	0	0	0
HDAC3	2.06E-06	0	0	0
CCDC88C	2.11E-06	0	0	0
AXIN1	3.46E-06	1	0	0
FBXO27	2.51E-06	0	0	0
DUS3L	2.62E-06	0	0	1
PTGS1	2.78E-06	0	0	0
ZSWIM7	3.02E-06	0	0	1
TTC19	2.98E-06	0	0	0
UNC119	2.28E-06	0	0	1
UTP14C	2.72E-06	0	0	0
SLC22A17	2.19E-06	0	0	0
POLE4	2.55E-06	0	0	0
IFT27	2.42E-06	0	0	1
MAU2	NA	0	0	0
SUGP1	NA	0	0	0
GSTM4	1.65E-06	0	0	0
ERP44	2.92E-06	0	0	0
INVS	3.01E-06	0	0	0
EXOSC6	3.32E-06	0	0	0
TMEM181	2.45E-06	0	0	0
C1GALT1C1	3.05E-06	0	0	0
KIAA1467	2.87E-06	0	0	1
PTCD1	2.55E-06	0	0	0
CPSF4	2.55E-06	0	0	0
NDUFAF2	2.19E-06	0	0	0
ERCC8	2.23E-06	0	0	0
SYT14	3.01E-06	0	0	0
AP3B2	2.65E-06	0	0	0
INCA1	2.20E-06	0	0	0
NAALAD2	6.48E-06	0	0	0
DHX16	2.57E-06	0	0	0
TCTN1	2.59E-06	0	0	0
C14ORF2	2.67E-06	0	0	0
CCDC56	2.11E-06	0	0	0
CCDC64	2.65E-06	0	0	1
RBPMS2	2.19E-06	0	0	0
NSUN5	8.37E-06	0	0	0
SLC25A33	1.56E-06	0	0	0
SCAMP4	2.47E-06	0	0	0
ECE2	2.83E-06	0	0	0
ALG3	2.83E-06	0	0	0
TRIM6-TRIM34	5.04E-06	0	0	1
MYO19	2.67E-06	0	0	0
PIGW	2.67E-06	0	0	0
OSBP2	2.00E-06	0	0	0
TCFL5	3.45E-06	0	0	0
NPR1	3.02E-06	0	0	0
GPR39	6.88E-06	0	0	0
TMCO4	1.89E-06	0	0	0
GDAP1	3.92E-06	0	0	1
FBXL13	4.59E-06	0	0	0
ARMC10	4.55E-06	0	0	0
PAFAH2	1.53E-06	0	0	0
ZNF85	4.71E-06	0	0	0
KCNN1	2.63E-06	0	0	1
SP140L	2.58E-06	0	0	1
HMOX2	1.92E-06	0	0	0
NMRAL1	1.92E-06	0	0	0
PDCD2L	2.62E-06	0	0	0
DUSP2	3.14E-06	0	0	0
SLC9A9	3.33E-06	0	0	0
R3HCC1	NA	0	0	0
CTSL2	2.76E-06	0	0	0
SLC17A9	3.63E-06	0	0	0
MREG	2.64E-06	0	0	1
MESP1	2.36E-06	0	0	1
ARHGAP19	1.89E-06	0	0	0
DHX37	3.25E-06	0	0	0
ADSSL1	2.70E-06	0	0	0
NEUROG2	3.35E-06	0	0	0
CNR1	3.29E-06	0	0	0
TINAGL1	1.88E-06	0	0	0
ZNF28	4.39E-06	0	0	0
PICK1	2.13E-06	0	0	0
ATP7B	2.68E-06	0	0	0
EIF1AD	2.03E-06	0	0	0
BANF1	2.03E-06	0	0	0
SUMF1	2.60E-06	0	0	0
RAB27B	2.90E-06	0	0	0
OAS3	2.79E-06	0	0	1
TUBG2	2.08E-06	0	0	0
SLC2A9	4.49E-06	0	0	0
ABCC3	2.00E-06	0	0	0
GPR135	3.11E-06	0	0	1
MED9	2.06E-06	0	0	0
TATDN1	2.98E-06	0	0	0
NDUFB9	2.98E-06	0	0	0
UGT8	3.91E-06	0	0	0
NSA2	2.29E-06	0	0	0
GFM2	2.29E-06	0	0	0
TRUB2	2.00E-06	0	0	1
COQ4	2.00E-06	0	0	0
ADAMTS14	1.85E-06	0	0	0
ZNF519	7.15E-06	0	0	1
MZT1	NA	0	0	1
ADCK2	2.93E-06	0	0	0
C13ORF34	3.17E-06	0	0	0
FRZB	3.52E-06	0	0	0
NLRX1	2.22E-06	0	0	0
IDS	3.43E-06	0	0	0
PHF21B	2.69E-06	0	0	0
GPKOW	3.45E-06	0	0	1
PXMP4	2.36E-06	0	0	0
SRPX2	2.87E-06	0	0	0
ULBP3	2.33E-06	0	0	0
DYSF	2.96E-06	0	0	0
TAF1C	2.26E-06	0	0	0
IGFLR1	NA	0	0	1
XRCC4	3.06E-06	0	0	0
TMEM167A	2.99E-06	0	0	0
ZNF619	2.69E-06	0	0	0
PPAPDC1A	3.08E-06	0	0	0
OS9	2.35E-06	0	0	0
THG1L	2.76E-06	0	0	0
DDX49	1.99E-06	0	0	0
COPE	1.99E-06	0	0	0
PLXNA4	3.88E-06	0	0	0
LIPE	3.18E-06	0	0	1
FASTKD1	2.33E-06	0	0	0
PFDN2	3.26E-06	0	0	0
NIT1	3.26E-06	0	0	0
BIRC3	2.69E-06	1	1	0
IGSF3	1.95E-06	0	0	0
RNF123	1.67E-06	0	0	0
