Gene	BLCA_HR	BRCA_HR	CESC_HR	COAD_HR	ESCA_HR	GBM_HR	HNSC_HR	KIRC_HR	KIRP_HR	LAML_HR	LGG_HR	LIHC_HR	LUAD_HR	LUSC_HR	OV_HR	PAAD_HR	READ_HR	SARC_HR	SKCM_HR	STAD_HR	UCEC_HR	BLCA_HR_Pvalue	BRCA_HR_Pvalue	CESC_HR_Pvalue	COAD_HR_Pvalue	ESCA_HR_Pvalue	GBM_HR_Pvalue	HNSC_HR_Pvalue	KIRC_HR_Pvalue	KIRP_HR_Pvalue	LAML_HR_Pvalue	LGG_HR_Pvalue	LIHC_HR_Pvalue	LUAD_HR_Pvalue	LUSC_HR_Pvalue	OV_HR_Pvalue	PAAD_HR_Pvalue	READ_HR_Pvalue	SARC_HR_Pvalue	SKCM_HR_Pvalue	STAD_HR_Pvalue	UCEC_HR_Pvalue
RIMS2	1.126	0.974	1.023	NA	1.13	1.065	1.082	1.251	0.612	NA	0.678	NA	1.231	0.948	0.937	0.887	NA	0.988	0.893	1.271	0.954	0.12	0.76	0.86	NA	0.41	0.54	0.28	0.006	0.0043	NA	1.5E-5	NA	0.012	0.45	0.41	0.27	NA	0.91	0.11	0.0051	0.68
B4GALT5	1.128	1.098	1.077	1.152	0.847	0.911	1.086	0.894	0.873	0.916	1.394	1.305	0.942	1.096	1.241	1.455	0.967	1.098	0.966	0.979	0.988	0.11	0.29	0.57	0.17	0.22	0.34	0.25	0.17	0.37	0.41	7.2E-4	0.006	0.44	0.17	0.0052	7.2E-4	0.87	0.35	0.63	0.79	0.92
HNRNPM	1.018	1.008	1.0	0.926	1.108	0.983	0.931	0.917	1.267	1.007	0.88	1.33	1.161	0.948	0.965	0.749	0.688	1.226	1.098	0.874	0.872	0.83	0.93	1.0	0.45	0.46	0.84	0.31	0.29	0.11	0.94	0.18	0.0021	0.048	0.44	0.63	0.0081	0.069	0.049	0.18	0.1	0.21
MBD6	0.831	1.014	0.856	1.201	0.854	1.085	1.019	1.482	1.07	1.148	1.188	0.967	0.938	1.009	0.98	0.837	1.471	0.958	1.166	1.09	0.989	0.019	0.87	0.24	0.067	0.26	0.38	0.79	1.1E-6	0.66	0.2	0.07	0.71	0.37	0.9	0.78	0.11	0.1	0.67	0.019	0.32	0.92
RNF111	1.069	1.105	1.226	1.118	0.942	0.899	1.056	0.796	1.0	0.837	0.999	0.926	0.97	1.049	1.027	1.077	0.968	0.955	0.882	1.003	0.947	0.39	0.26	0.11	0.29	0.65	0.27	0.43	0.0056	1.0	0.1	0.99	0.39	0.68	0.47	0.74	0.5	0.86	0.66	0.071	0.97	0.6
TMEM189-UBE2V1	NA	NA	NA	NA	1.056	NA	1.032	NA	NA	NA	NA	NA	NA	NA	0.952	NA	NA	NA	NA	1.015	NA	NA	NA	NA	NA	0.71	NA	0.67	NA	NA	NA	NA	NA	NA	NA	0.48	NA	NA	NA	NA	0.87	NA
RBFOX2	1.094	1.077	1.222	1.064	0.781	0.967	1.088	1.051	1.093	1.011	0.73	0.9	1.071	0.951	1.136	1.141	1.0	1.133	0.979	1.168	1.086	0.22	0.41	0.11	0.53	0.069	0.72	0.24	0.55	0.57	0.92	7.0E-4	0.24	0.35	0.46	0.11	0.24	1.0	0.24	0.75	0.064	0.45
RBMX	0.896	1.082	0.766	0.835	1.251	0.867	1.075	1.127	1.525	0.822	0.722	1.161	0.999	0.957	0.972	0.919	0.839	1.566	0.97	1.058	1.122	0.15	0.37	0.046	0.078	0.088	0.1	0.34	0.14	0.007	0.073	9.1E-4	0.13	0.99	0.54	0.71	0.44	0.44	5.2E-5	0.67	0.49	0.26
STAU2	0.912	1.084	1.004	0.831	1.061	1.089	0.971	0.998	1.18	0.78	0.994	1.024	0.995	0.985	1.084	1.278	1.086	1.129	0.986	1.046	1.161	0.25	0.36	0.97	0.078	0.69	0.37	0.67	0.98	0.29	0.039	0.95	0.79	0.95	0.83	0.25	0.03	0.69	0.24	0.85	0.56	0.15
ADRBK1	0.847	0.903	0.887	1.084	0.994	1.1	0.957	1.255	1.147	0.991	1.008	0.988	0.968	1.146	1.011	0.851	1.289	0.858	0.796	0.971	0.917	0.027	0.25	0.37	0.43	0.97	0.31	0.53	0.0041	0.38	0.93	0.93	0.9	0.66	0.045	0.88	0.15	0.28	0.12	0.0014	0.73	0.42
MYO18A	1.114	1.125	1.147	1.033	0.828	1.101	1.019	0.868	1.023	0.967	1.046	0.892	0.955	1.182	1.167	0.891	0.861	0.85	1.067	0.866	1.034	0.16	0.17	0.33	0.74	0.17	0.3	0.79	0.088	0.88	0.74	0.64	0.18	0.56	0.018	0.031	0.31	0.5	0.12	0.38	0.095	0.74
RNF38	0.971	0.967	0.968	1.032	0.867	0.911	0.947	0.792	1.052	0.847	0.944	1.131	0.867	1.045	0.997	0.983	0.924	0.919	0.836	1.02	1.046	0.69	0.7	0.8	0.75	0.33	0.29	0.43	0.0047	0.73	0.13	0.54	0.17	0.052	0.52	0.97	0.88	0.71	0.41	0.011	0.8	0.67
LUZP1	1.082	1.107	1.316	0.857	1.016	1.085	1.053	0.785	0.649	0.909	1.4	1.152	1.078	1.081	1.229	1.183	0.668	1.093	1.05	0.988	0.998	0.3	0.25	0.028	0.12	0.91	0.36	0.48	0.0037	0.0021	0.38	2.0E-4	0.12	0.32	0.25	0.01	0.15	0.047	0.41	0.49	0.89	0.99
KIAA0430	0.936	0.989	0.926	1.14	0.935	0.986	0.885	0.805	1.005	0.942	0.72	0.811	0.911	1.041	1.066	1.132	0.891	0.954	0.969	1.098	0.958	0.4	0.9	0.57	0.22	0.6	0.87	0.084	0.0061	0.97	0.6	4.9E-4	0.027	0.21	0.55	0.38	0.25	0.6	0.64	0.65	0.28	0.68
ZBTB1	0.93	0.943	0.976	0.976	1.034	0.849	0.846	1.226	0.922	0.977	0.864	1.075	0.985	0.915	1.125	0.971	1.038	1.039	0.784	0.969	0.839	0.37	0.5	0.86	0.82	0.82	0.098	0.022	0.0085	0.59	0.83	0.13	0.41	0.84	0.21	0.12	0.79	0.87	0.7	0.0011	0.72	0.097
RTF1	1.168	1.011	0.933	1.115	0.941	0.897	0.97	1.08	1.082	1.017	0.788	0.856	1.045	0.998	0.971	1.265	1.176	0.997	0.886	1.026	0.951	0.048	0.9	0.58	0.28	0.65	0.29	0.66	0.32	0.61	0.87	0.0072	0.08	0.54	0.98	0.68	0.049	0.5	0.98	0.08	0.77	0.62
RPL22	0.913	0.849	0.943	0.916	1.135	0.981	1.042	0.986	1.157	0.84	0.767	1.015	1.002	1.001	1.02	1.187	0.911	1.303	1.06	1.108	1.054	0.22	0.066	0.66	0.38	0.38	0.83	0.57	0.87	0.34	0.11	0.006	0.87	0.98	0.99	0.79	0.13	0.69	0.016	0.38	0.21	0.63
SUPT5H	1.029	0.904	1.019	1.246	1.0	0.886	0.958	1.258	1.571	1.199	1.151	1.12	1.058	0.972	1.166	0.941	1.116	1.068	1.145	1.055	1.122	0.71	0.24	0.89	0.035	1.0	0.15	0.54	0.0025	0.0053	0.09	0.15	0.21	0.46	0.69	0.05	0.58	0.59	0.51	0.07	0.53	0.29
UPF2	0.958	1.192	0.987	1.208	0.948	0.933	0.951	0.918	1.459	1.119	0.734	1.215	0.972	0.983	1.057	1.087	1.124	1.105	0.821	0.96	1.087	0.57	0.039	0.92	0.076	0.71	0.43	0.47	0.28	0.0086	0.33	0.0011	0.036	0.71	0.81	0.48	0.45	0.6	0.34	0.0083	0.63	0.43
MTHFR	0.914	0.865	1.04	0.904	1.048	1.098	0.811	0.956	0.624	1.095	1.385	1.046	0.868	1.129	1.138	0.71	0.888	0.868	1.099	0.82	1.058	0.23	0.089	0.76	0.33	0.71	0.3	0.0042	0.59	0.002	0.43	8.9E-4	0.61	0.056	0.079	0.099	0.0044	0.61	0.16	0.18	0.022	0.58
NFIX	1.142	1.01	0.792	1.035	0.818	0.958	0.931	0.877	1.354	1.168	0.7	0.764	0.795	0.942	1.211	0.986	1.007	0.979	0.961	0.943	1.102	0.084	0.91	0.096	0.74	0.093	0.63	0.32	0.088	0.048	0.19	5.3E-4	0.005	0.0026	0.39	0.0099	0.89	0.98	0.84	0.58	0.48	0.32
ATRX	0.961	1.166	1.101	1.08	1.323	0.969	0.969	0.846	0.996	0.925	0.956	1.022	0.928	1.004	0.983	1.096	1.004	1.001	0.787	0.994	1.147	0.62	0.085	0.46	0.45	0.043	0.75	0.66	0.045	0.98	0.47	0.62	0.81	0.32	0.96	0.82	0.43	0.98	0.99	6.4E-4	0.95	0.21
MAML1	1.021	1.168	1.122	1.052	1.029	0.983	1.003	1.157	1.665	0.842	1.11	1.132	0.993	1.047	1.074	0.871	0.811	0.992	1.095	0.967	1.081	0.79	0.086	0.41	0.63	0.85	0.84	0.96	0.075	9.5E-4	0.1	0.29	0.19	0.92	0.51	0.33	0.23	0.33	0.94	0.19	0.69	0.46
FAM123B	0.988	1.152	0.832	1.189	0.909	0.912	0.951	1.024	1.442	1.064	0.98	0.986	0.972	0.878	1.096	1.106	0.8	1.242	1.021	0.923	1.039	0.88	0.094	0.16	0.079	0.49	0.28	0.5	0.76	0.015	0.55	0.83	0.87	0.7	0.061	0.25	0.35	0.33	0.038	0.75	0.33	0.72
PHF6	0.906	1.238	0.89	1.006	1.184	0.785	1.187	1.113	1.454	1.022	0.908	1.295	1.096	0.901	1.061	1.339	1.006	1.313	0.835	0.946	1.147	0.2	0.019	0.35	0.95	0.24	0.01	0.017	0.19	0.031	0.83	0.32	0.0048	0.22	0.14	0.41	0.013	0.98	0.01	0.014	0.5	0.2
PPP3CB	1.189	0.941	1.136	0.872	1.109	1.007	1.139	1.035	0.675	0.768	0.565	1.147	0.905	1.045	0.963	0.794	1.179	1.046	0.788	1.159	0.916	0.019	0.5	0.33	0.19	0.42	0.94	0.067	0.65	0.011	0.024	2.0E-8	0.15	0.18	0.53	0.6	0.04	0.48	0.67	6.3E-4	0.078	0.41
COL4A1	1.195	1.201	1.637	1.157	0.945	0.928	0.981	0.946	2.311	0.825	1.508	1.026	1.149	1.145	1.087	1.173	1.37	0.883	1.123	1.227	1.036	0.021	0.05	2.6E-4	0.16	0.69	0.48	0.79	0.5	5.4E-6	0.1	3.4E-5	0.78	0.058	0.048	0.3	0.15	0.19	0.22	0.058	0.016	0.74
PIK3C2B	0.8	1.138	0.988	1.055	0.888	1.062	0.804	0.91	1.155	1.109	0.989	0.998	1.083	1.121	1.129	1.101	1.212	0.664	1.036	0.846	1.2	0.0059	0.15	0.93	0.6	0.4	0.51	0.003	0.27	0.37	0.32	0.91	0.98	0.3	0.1	0.11	0.38	0.34	7.5E-5	0.61	0.044	0.092
NAA50	1.002	1.276	0.855	0.945	1.111	0.943	0.94	0.868	1.626	1.106	1.391	1.236	1.23	0.988	0.988	1.672	0.746	1.194	0.893	0.907	1.059	0.98	0.0098	0.21	0.59	0.47	0.56	0.37	0.077	0.0042	0.37	4.5E-4	0.024	0.0069	0.86	0.89	7.0E-6	0.15	0.087	0.13	0.23	0.6
UBE2G1	1.172	1.142	0.903	0.919	0.953	1.073	1.012	0.932	1.034	0.783	0.933	0.976	1.163	0.969	1.015	1.032	1.012	1.259	1.137	0.994	0.819	0.038	0.13	0.43	0.41	0.7	0.44	0.87	0.35	0.83	0.024	0.49	0.78	0.047	0.66	0.86	0.76	0.96	0.038	0.071	0.94	0.059
HIST1H1E	0.902	0.915	0.966	1.163	1.179	0.929	1.094	1.49	1.72	1.013	1.254	1.041	1.184	0.993	0.997	1.161	1.049	1.268	0.965	0.891	1.185	0.18	0.31	0.79	0.15	0.25	0.44	0.2	6.7E-7	9.9E-4	0.9	0.026	0.66	0.021	0.93	0.97	0.16	0.81	0.027	0.62	0.16	0.15
HIST1H2BD	0.9	0.92	0.807	1.531	1.117	1.011	1.056	1.035	1.243	1.07	1.356	0.849	1.141	0.932	1.053	1.405	1.328	1.107	1.038	1.064	1.036	0.14	0.36	0.11	1.5E-4	0.42	0.89	0.43	0.66	0.17	0.51	0.001	0.074	0.072	0.31	0.52	0.0049	0.23	0.3	0.58	0.46	0.75
NXF1	0.888	0.964	0.69	1.271	0.93	0.91	0.859	1.462	0.961	1.102	0.979	1.0	0.873	0.961	0.995	0.744	0.862	1.075	1.047	0.944	0.843	0.13	0.69	0.0064	0.022	0.64	0.27	0.033	3.1E-6	0.79	0.36	0.82	1.0	0.072	0.57	0.94	0.0051	0.43	0.47	0.49	0.49	0.13
DNAJB12	1.048	0.82	0.905	1.144	1.111	1.125	1.214	1.206	0.67	1.212	0.499	0.937	0.939	1.213	1.088	0.988	1.345	0.862	0.928	0.937	0.949	0.54	0.036	0.44	0.19	0.44	0.2	0.0071	0.021	0.011	0.071	2.2E-11	0.48	0.41	0.0069	0.27	0.91	0.15	0.17	0.27	0.44	0.62
ASXL2	1.207	1.106	1.314	1.01	0.785	0.919	0.956	0.743	1.112	1.0	1.142	0.999	0.982	1.08	1.014	1.234	0.821	0.95	0.96	0.957	1.011	0.021	0.25	0.037	0.92	0.1	0.35	0.52	2.8E-4	0.49	1.0	0.15	0.99	0.8	0.27	0.85	0.066	0.31	0.61	0.57	0.6	0.92
FRG1	1.06	0.899	0.814	0.939	1.105	1.081	1.124	1.1	0.884	0.886	0.752	0.919	1.012	0.976	0.968	1.056	1.398	0.944	0.877	0.914	1.003	0.47	0.23	0.12	0.54	0.47	0.37	0.11	0.21	0.41	0.25	0.0031	0.36	0.87	0.73	0.68	0.61	0.14	0.58	0.078	0.3	0.98
EIF1AX	0.96	0.995	1.01	0.86	1.324	0.986	1.122	1.003	1.617	0.901	0.841	1.078	1.148	0.859	0.844	1.424	0.977	1.139	0.841	0.969	1.039	0.63	0.95	0.94	0.17	0.041	0.89	0.13	0.97	0.0081	0.4	0.052	0.44	0.091	0.04	0.032	0.017	0.92	0.23	0.028	0.73	0.73
GIGYF2	1.054	1.029	1.201	1.033	0.969	0.956	0.95	0.761	1.068	0.914	0.853	1.087	0.985	1.022	1.16	1.139	1.625	0.898	1.126	0.945	1.061	0.5	0.76	0.16	0.76	0.84	0.63	0.46	5.8E-4	0.67	0.42	0.083	0.38	0.84	0.77	0.048	0.23	0.054	0.3	0.1	0.51	0.57
MAP3K12	1.036	1.008	1.098	1.201	0.943	1.075	0.976	1.528	1.305	0.946	0.876	0.96	0.828	1.034	1.007	0.705	1.53	0.753	0.923	1.273	1.056	0.64	0.93	0.48	0.069	0.67	0.46	0.73	4.0E-8	0.085	0.62	0.15	0.66	0.012	0.62	0.93	0.0012	0.071	0.011	0.24	0.0065	0.59
RBM27	1.081	1.256	1.235	0.864	1.086	0.914	1.11	0.804	1.426	0.873	1.03	1.06	1.138	1.041	1.034	1.192	0.956	1.138	0.856	1.031	0.965	0.31	0.013	0.11	0.16	0.56	0.33	0.14	0.0061	0.025	0.23	0.76	0.49	0.091	0.56	0.65	0.11	0.84	0.22	0.034	0.71	0.74
CS	1.07	1.313	1.051	0.857	1.028	0.888	1.032	0.979	0.894	1.086	0.753	1.043	1.094	1.007	0.965	1.052	0.871	1.086	1.327	0.919	1.094	0.37	0.0028	0.68	0.14	0.82	0.2	0.65	0.79	0.45	0.42	0.0024	0.63	0.23	0.91	0.64	0.64	0.45	0.44	4.6E-5	0.32	0.4
KIAA0913	0.986	0.924	0.948	1.23	0.966	0.976	0.86	1.336	0.878	1.044	0.698	0.905	0.872	1.089	1.095	0.695	1.556	0.845	1.087	0.982	0.999	0.86	0.43	0.7	0.046	0.78	0.78	0.036	3.2E-4	0.38	0.69	2.7E-4	0.27	0.07	0.2	0.27	0.0015	0.04	0.11	0.24	0.82	1.0
DYRK3	1.179	0.957	1.055	1.09	0.964	1.038	0.959	0.883	1.812	1.052	1.581	1.18	0.858	1.127	1.03	0.99	1.351	1.011	1.114	1.013	1.098	0.042	0.62	0.67	0.38	0.8	0.67	0.56	0.11	5.3E-4	0.62	1.5E-5	0.058	0.041	0.086	0.68	0.92	0.16	0.91	0.12	0.88	0.35
COL11A1	1.094	1.141	1.483	1.114	1.033	1.013	1.074	1.422	1.667	NA	1.344	NA	1.182	0.972	1.163	1.242	1.223	1.251	1.01	1.119	1.188	0.26	0.15	0.003	0.3	0.83	0.88	0.3	1.4E-5	0.0018	NA	6.7E-4	NA	0.019	0.68	0.038	0.063	0.34	0.037	0.88	0.19	0.11
HLA-A	0.904	0.887	0.953	0.929	1.148	1.01	1.041	0.988	0.815	0.998	1.336	0.906	0.969	1.051	0.917	0.914	0.767	0.769	0.83	1.088	0.879	0.16	0.15	0.69	0.46	0.34	0.91	0.57	0.88	0.18	0.98	0.0036	0.27	0.66	0.49	0.21	0.43	0.23	0.016	0.0067	0.32	0.23
ZFC3H1	0.888	1.279	1.052	1.104	0.978	0.965	0.976	1.258	1.185	0.814	1.041	1.227	1.073	1.034	1.05	0.957	0.976	1.205	0.856	0.97	1.057	0.13	0.0057	0.7	0.32	0.86	0.69	0.73	0.0019	0.26	0.064	0.67	0.025	0.37	0.63	0.5	0.71	0.93	0.071	0.035	0.71	0.58
EPHA5	NA	NA	NA	NA	NA	1.171	NA	NA	NA	NA	1.145	NA	NA	NA	1.053	0.85	NA	NA	1.119	1.198	NA	NA	NA	NA	NA	NA	0.07	NA	NA	NA	NA	0.18	NA	NA	NA	0.55	0.15	NA	NA	0.099	0.036	NA
CDC27	1.195	1.105	1.519	0.795	1.062	0.976	1.224	1.042	2.325	0.819	1.269	1.305	1.207	1.028	1.024	1.26	0.828	1.178	0.914	1.039	1.024	0.024	0.25	0.0029	0.026	0.69	0.77	0.0049	0.61	1.6E-5	0.1	0.014	0.0029	0.013	0.69	0.76	0.039	0.46	0.13	0.21	0.66	0.82
CACNA1C	1.111	1.004	1.227	1.146	0.863	1.142	0.875	1.033	1.724	0.847	0.802	0.854	0.899	1.13	1.279	0.843	1.211	1.025	1.055	1.136	1.124	0.16	0.96	0.13	0.17	0.27	0.17	0.059	0.68	4.4E-4	0.12	0.02	0.092	0.15	0.063	0.0019	0.11	0.42	0.8	0.39	0.12	0.3
HSPD1	0.952	1.203	1.256	0.884	1.108	0.913	1.172	0.948	1.72	0.996	1.118	1.276	1.311	0.945	0.921	1.257	0.946	1.293	1.122	0.956	1.219	0.53	0.053	0.14	0.24	0.43	0.32	0.021	0.5	0.0011	0.96	0.21	0.0076	7.7E-4	0.41	0.26	0.032	0.8	0.018	0.1	0.6	0.082
BAI3	1.09	1.014	NA	NA	0.971	0.965	0.945	0.994	1.004	NA	0.637	NA	0.833	1.091	NA	0.698	NA	0.937	1.08	1.239	NA	0.26	0.89	NA	NA	0.82	0.68	0.43	0.93	0.98	NA	2.1E-6	NA	0.015	0.22	NA	9.7E-4	NA	0.55	0.27	0.013	NA
SUFU	0.876	1.112	0.985	1.061	0.926	1.068	0.943	0.893	0.84	1.242	0.631	0.929	1.012	1.037	1.216	1.08	1.36	1.005	1.001	1.067	0.948	0.077	0.23	0.91	0.55	0.54	0.49	0.39	0.14	0.24	0.058	1.6E-7	0.41	0.87	0.58	0.0079	0.5	0.22	0.96	0.99	0.46	0.62
UCP2	0.82	1.056	0.685	1.158	0.995	1.142	0.898	1.08	1.615	1.356	1.473	0.952	0.835	1.002	0.852	0.778	1.019	0.706	0.834	1.038	1.055	0.011	0.53	0.0058	0.17	0.97	0.16	0.14	0.33	0.0036	0.0089	4.7E-5	0.59	0.024	0.97	0.045	0.028	0.92	0.0017	0.0086	0.65	0.63
RARG	0.929	0.892	0.716	1.115	0.959	0.975	0.897	1.216	1.484	1.198	1.106	0.941	1.146	0.961	1.118	1.288	1.474	0.834	1.138	0.93	1.207	0.32	0.21	0.018	0.29	0.76	0.79	0.13	0.016	0.0083	0.11	0.22	0.51	0.081	0.58	0.12	0.022	0.071	0.074	0.074	0.39	0.074
TMEM14B	1.05	0.776	1.014	0.88	1.246	1.03	1.176	1.048	1.26	1.03	0.643	1.17	1.061	0.963	0.84	1.16	0.866	1.248	1.086	1.101	1.124	0.53	0.0044	0.92	0.22	0.11	0.74	0.022	0.56	0.11	0.79	9.5E-7	0.076	0.42	0.6	0.023	0.18	0.49	0.037	0.24	0.24	0.27
POGZ	0.855	0.964	1.039	1.182	0.719	0.916	0.888	1.414	1.297	0.941	0.841	1.031	0.984	0.965	1.017	0.791	1.24	1.209	1.087	1.061	1.103	0.038	0.68	0.77	0.097	0.016	0.32	0.11	4.7E-6	0.099	0.56	0.082	0.75	0.83	0.61	0.82	0.04	0.33	0.054	0.24	0.45	0.35
ANKS1A	0.943	1.129	1.103	1.023	0.859	0.983	0.887	0.949	1.026	0.905	0.816	1.058	0.902	0.986	1.002	0.891	0.629	1.003	0.922	1.058	1.107	0.43	0.17	0.45	0.82	0.25	0.85	0.089	0.52	0.87	0.32	0.037	0.53	0.15	0.84	0.98	0.29	0.045	0.98	0.23	0.51	0.32
COX5A	0.931	0.996	0.803	0.792	1.147	0.949	1.059	1.077	0.748	1.243	0.851	0.84	1.131	0.926	0.956	1.059	0.951	0.938	1.195	1.001	1.077	0.37	0.96	0.092	0.026	0.35	0.54	0.41	0.38	0.058	0.031	0.071	0.05	0.12	0.26	0.56	0.62	0.81	0.54	0.011	0.99	0.48
ECE1	1.122	0.909	0.961	1.019	0.791	1.106	0.967	1.098	1.175	1.111	1.659	0.883	1.03	1.015	1.118	0.976	0.861	0.966	0.974	1.05	0.993	0.13	0.27	0.76	0.85	0.11	0.26	0.66	0.24	0.26	0.35	4.6E-7	0.18	0.71	0.84	0.13	0.82	0.48	0.74	0.69	0.57	0.95
SMARCD1	0.962	0.914	1.158	1.128	1.053	1.041	1.045	1.35	1.266	1.043	0.955	1.387	1.045	0.93	0.903	0.934	0.895	1.176	1.198	1.012	0.968	0.6	0.31	0.28	0.23	0.72	0.64	0.54	2.1E-4	0.1	0.68	0.65	0.0013	0.55	0.31	0.2	0.54	0.61	0.13	0.0084	0.89	0.75
MEPCE	0.957	0.942	0.799	1.173	0.839	1.069	0.906	0.905	0.663	1.059	0.742	0.939	1.048	0.892	1.058	0.795	1.176	0.821	1.123	0.971	1.289	0.56	0.49	0.12	0.11	0.21	0.46	0.18	0.23	0.01	0.63	0.0019	0.49	0.54	0.11	0.48	0.035	0.38	0.046	0.1	0.72	0.018
RQCD1	1.152	1.16	1.161	0.869	0.87	0.891	0.994	0.95	1.706	1.061	1.239	1.331	1.177	0.978	1.015	1.049	0.901	1.105	1.166	0.855	1.006	0.078	0.1	0.26	0.16	0.35	0.2	0.93	0.5	0.0015	0.59	0.023	0.0023	0.03	0.75	0.86	0.67	0.56	0.36	0.032	0.062	0.96
CD58	1.003	0.975	1.082	0.833	0.965	1.059	1.034	0.926	0.989	0.831	2.05	1.348	1.02	0.974	0.896	1.337	0.826	0.817	0.843	1.053	1.056	0.97	0.78	0.55	0.065	0.81	0.52	0.65	0.35	0.94	0.087	1.9E-12	9.1E-4	0.79	0.7	0.16	0.0084	0.39	0.064	0.017	0.53	0.62
PRPF40B	0.879	0.994	1.208	1.169	0.885	1.015	0.978	1.486	0.719	0.961	0.787	1.169	0.932	0.966	0.996	0.846	1.352	1.022	1.117	1.055	0.97	0.095	0.95	0.15	0.11	0.42	0.88	0.75	8.3E-7	0.037	0.68	0.012	0.082	0.34	0.62	0.96	0.11	0.13	0.84	0.13	0.54	0.75
AMBRA1	0.97	0.846	1.129	1.213	0.887	1.19	0.954	0.924	0.9	1.088	0.805	1.042	0.894	1.078	1.074	1.077	0.687	1.016	1.103	0.965	0.959	0.7	0.065	0.35	0.064	0.38	0.051	0.5	0.32	0.49	0.44	0.012	0.65	0.13	0.28	0.31	0.51	0.11	0.89	0.16	0.66	0.68
MBNL1	1.018	0.958	0.713	1.006	1.12	0.942	0.913	1.082	1.61	0.806	1.29	0.995	0.936	0.856	1.004	1.165	1.043	0.785	0.742	1.101	1.025	0.81	0.62	0.0097	0.95	0.41	0.51	0.19	0.33	0.0026	0.068	0.011	0.96	0.38	0.026	0.96	0.17	0.85	0.022	4.0E-5	0.29	0.81
GRIA3	0.97	1.205	1.224	1.144	1.475	0.941	0.814	0.903	0.901	NA	0.734	1.011	0.984	1.063	1.052	0.778	0.938	0.863	0.981	1.264	1.156	0.7	0.033	0.16	0.21	0.011	0.52	0.003	0.2	0.52	NA	4.1E-4	0.9	0.85	0.36	0.5	0.025	0.79	0.18	0.79	0.0088	0.17
PPP2R5C	1.059	1.035	1.024	0.964	1.209	0.885	1.084	1.019	1.301	1.02	0.751	0.989	0.987	1.023	1.023	1.015	1.283	0.951	0.82	1.106	1.123	0.43	0.71	0.84	0.73	0.17	0.22	0.26	0.8	0.082	0.87	0.011	0.91	0.86	0.74	0.76	0.89	0.28	0.61	0.0041	0.23	0.28
LIMCH1	0.847	1.255	1.324	1.073	0.829	0.935	1.04	0.673	1.33	0.746	0.98	1.057	0.849	1.106	1.067	0.926	1.302	0.828	1.0	1.012	1.075	0.032	0.012	0.037	0.48	0.18	0.49	0.58	2.0E-6	0.062	0.015	0.83	0.55	0.035	0.14	0.39	0.49	0.25	0.076	1.0	0.89	0.5
FAM5C	NA	NA	NA	NA	1.047	1.036	NA	NA	NA	NA	0.802	NA	1.008	1.122	NA	0.978	0.977	NA	NA	1.126	NA	NA	NA	NA	NA	0.76	0.72	NA	NA	NA	NA	0.0088	NA	0.92	0.093	NA	0.84	0.91	NA	NA	0.15	NA
RNF216	1.121	1.085	1.276	1.324	0.772	1.114	1.033	1.134	1.114	0.815	1.033	1.198	1.061	1.006	1.13	0.636	0.988	0.888	0.963	1.019	1.067	0.12	0.35	0.074	0.0026	0.051	0.29	0.64	0.13	0.47	0.064	0.73	0.056	0.46	0.93	0.1	1.7E-4	0.95	0.21	0.58	0.82	0.55
COL2A1	1.166	0.945	1.036	1.113	1.086	1.046	1.064	NA	NA	0.695	1.011	NA	1.023	1.0	1.06	NA	0.882	1.249	1.048	NA	1.015	0.055	0.52	0.8	0.31	0.53	0.61	0.39	NA	NA	0.0025	0.91	NA	0.77	1.0	0.44	NA	0.59	0.04	0.52	NA	0.88
RAPGEF3	0.935	0.95	0.873	1.087	1.082	1.092	0.9	1.135	0.849	1.088	0.863	0.732	0.846	1.176	1.044	1.054	1.05	0.889	1.003	0.985	1.02	0.38	0.6	0.29	0.43	0.54	0.36	0.14	0.14	0.26	0.46	0.13	3.4E-4	0.034	0.016	0.53	0.64	0.84	0.22	0.97	0.86	0.85
VMP1	1.005	1.046	1.164	0.832	1.048	1.129	1.131	1.487	1.296	0.885	1.416	1.171	1.007	1.025	0.954	1.044	0.932	1.025	0.931	1.034	1.14	0.94	0.62	0.29	0.08	0.73	0.17	0.094	4.9E-7	0.085	0.24	0.0012	0.081	0.92	0.74	0.53	0.7	0.78	0.82	0.33	0.7	0.22
TP53BP1	1.163	1.02	1.21	1.238	0.797	0.857	1.025	1.056	1.086	0.841	1.003	1.116	1.008	1.012	1.108	0.932	0.906	1.041	0.869	0.953	0.906	0.054	0.82	0.14	0.029	0.11	0.1	0.73	0.49	0.6	0.12	0.97	0.25	0.91	0.86	0.18	0.57	0.64	0.71	0.04	0.55	0.36
CROCC	0.837	0.813	0.773	1.22	1.01	1.026	0.885	1.495	0.893	1.197	1.232	1.086	0.86	0.959	1.123	0.704	0.928	1.187	1.039	0.893	0.943	0.023	0.032	0.047	0.059	0.94	0.77	0.08	2.3E-7	0.46	0.12	0.024	0.38	0.053	0.54	0.13	0.0014	0.69	0.091	0.56	0.18	0.6
EPB41L3	1.036	0.888	0.904	1.016	1.03	1.158	0.91	0.884	0.756	1.143	0.813	0.945	0.97	1.02	1.171	0.807	1.361	0.895	0.99	1.165	1.168	0.63	0.17	0.46	0.87	0.82	0.12	0.18	0.12	0.066	0.22	0.033	0.54	0.66	0.77	0.055	0.039	0.17	0.29	0.88	0.082	0.13
