Gene	Gene_betweenness_centrality	Gene_closeness_centrality	Gene_Degree	TSG.All.Set	OG.All.Set	Neutral.Genes
TRIM61	0	0	0	0	0	1
NUDT10	6.1E-7	0.31097572	6	0	0	0
PGM5	3.3E-7	0.32149784	9	0	0	0
CCL20	6.23E-6	0.29972967	4	0	0	0
PALM	7.21E-6	0.36828791	23	0	0	0
LSR	9.092E-5	0.38787851	55	0	0	0
DIO2	2.76E-6	0.36200484	22	0	0	0
RRP1B	8.813E-5	0.41136146	113	0	0	0
PRKG2	1.61E-6	0.33275033	9	0	0	1
DCHS1	1.0E-7	0.28461656	3	0	0	0
PRSS3	2.05E-6	0.34688381	17	0	0	0
ACHE	1.06E-6	0.33003469	2	0	0	1
RAB36	4.0E-8	0.27657641	2	0	0	0
FGFR3	1.6184E-4	0.37302259	69	0	1	0
C14ORF176	1.0E-8	0.29554963	2	0	0	0
ZNF732	0.0	0.30562807	1	0	0	0
SLC27A2	9.619E-5	0.37404768	50	0	0	0
ALG12	4.63E-6	0.33566574	10	0	0	0
CRELD2	4.51E-6	0.31577359	13	0	0	0
IFT46	7.19E-6	0.34049217	30	0	0	0
CR1L	0	0	0	0	0	0
STMN2	2.183E-5	0.3466755	30	0	0	1
REPS2	3.1E-6	0.35669848	22	0	0	0
MFI2	1.891E-5	0.32605605	7	0	0	0
AS3MT	0.0	0.25956589	1	0	0	0
FAM113A	0	0	0	0	0	0
VPS16	7.105E-5	0.37268215	67	0	0	0
IL1B	3.744E-5	0.35995012	16	0	0	0
NXPH4	7.31E-6	0.34344678	5	0	0	1
LPPR4	0.0	0.25492585	1	0	0	1
ERVMER34-1	0	0	0	0	0	0
SNRNP25	3.82E-6	0.35434304	13	0	0	0
POLR3K	1.32E-6	0.32494226	19	0	0	0
ALDH1L1	1.49E-6	0.34914081	21	0	0	0
SGK1	8.554E-5	0.38616077	77	0	1	0
VPS29	9.794E-5	0.37267385	102	0	0	0
HSDL1	5.134E-5	0.36926267	27	0	0	0
SPAG1	1.268E-5	0.36031422	16	0	0	1
SLC25A27	0.0	0.27087985	1	0	0	0
SLC16A4	4.0E-8	0.33155101	2	0	0	0
STK32A	2.51E-6	0.3223707	2	0	0	0
FOXRED2	9.8E-6	0.35534331	38	0	0	0
RPRM	1.065E-5	0.35029502	10	0	0	0
SVIL	1.2232E-4	0.40356755	122	0	0	0
LMTK3	7.8E-7	0.33690862	5	0	0	0
MOCS2	4.4E-7	0.35511719	6	0	0	0
CYP39A1	8.4E-7	0.30050976	5	0	0	0
AFF3	6.2E-7	0.35440305	5	0	1	0
DNAAF1	2.0E-6	0.33098076	7	0	0	1
TLR5	3.14E-6	0.31288195	13	0	0	0
PLS3	6.067E-5	0.39611035	78	0	0	0
BSX	0	0	0	0	0	1
ELF1	3.73E-6	0.35864699	12	0	0	0
ZNF843	2.3E-7	0.30495446	5	0	0	1
POLR2J3	0.0	0.32617675	1	0	0	0
MDH1B	0	0	0	0	0	1
FASTKD2	1.109E-5	0.36887214	34	0	0	1
PTCH2	3.77E-6	0.35688858	6	0	0	0
CCT8L2	0	0	0	0	0	1
DLX4	8.0E-8	0.2919624	4	0	0	0
ART5	0.0	0.28874976	1	0	0	0
LY75	0	0	0	0	0	0
TRIM29	3.2242E-4	0.39208431	145	0	0	0
ESM1	0.0	0.23077771	1	0	0	0
PLCG2	1.3513E-4	0.39099465	60	0	0	0
MT1M	1.0E-8	0.29852716	2	0	0	0
ANKRD1	5.0E-8	0.30663565	9	0	0	1
RTN1	3.394E-5	0.352842	33	0	0	0
IL28RA	0	0	0	0	0	0
PLLP	4.531E-5	0.34704919	8	0	0	1
AMPH	3.827E-5	0.35539611	59	0	0	0
NIPAL4	3.0E-7	0.28440866	2	0	0	1
HAND1	2.01E-6	0.32707523	12	0	0	0
CNN1	6.585E-5	0.33224846	20	0	0	0
FANCB	7.65E-6	0.35263391	27	0	0	0
MOSPD2	3.582E-5	0.36467001	24	0	0	1
CA14	1.989E-5	0.33957366	47	0	0	0
ARHGDIB	1.209E-5	0.34955632	20	0	0	0
NDST3	0.0	0.33042552	1	0	0	1
ACADL	5.65E-6	0.34256133	6	0	0	0
IKZF1	1.6497E-4	0.37457491	151	1	0	0
SHISA9	0.0	0.32617675	1	0	0	0
IFI44L	5.77E-6	0.31953431	10	0	0	1
ROM1	0.0	0.30191333	2	0	0	1
IRX4	0.0	0.28320111	2	0	0	0
CSPG5	5.9E-7	0.31507829	8	0	0	1
B4GALNT3	2.8E-7	0.27420279	3	0	0	0
GNAL	1.92E-6	0.33884515	8	0	0	1
C11ORF1	2.5E-7	0.30955551	2	0	0	0
FDXACB1	3.2E-7	0.30774038	5	0	0	0
NAPSA	1.28E-6	0.33535645	7	0	0	0
KIF26A	2.8E-7	0.34779899	5	0	0	0
ZNF585A	0.0	0.28385894	1	0	0	1
KIF6	7.6E-7	0.29909781	7	0	0	0
HIST2H4A	1.407E-5	0.37784649	58	0	0	0
EXD3	3.1E-7	0.33821539	7	0	0	1
SLC16A12	0	0	0	0	0	0
TMEM74	5.9E-7	0.33099385	5	0	0	0
CMYA5	6.02E-6	0.35965628	14	0	0	0
PLD5	0.0	0.30203316	1	0	0	0
CYP2S1	2.305E-5	0.34401134	37	0	0	0
DHRS4L1	0	0	0	0	0	0
HOXD11	0.0	0.32105394	2	0	1	0
C18ORF1	0	0	0	0	0	0
DISP2	0.0	0.33664441	1	0	0	0
SLC38A4	5.0E-8	0.31207128	2	0	0	0
DUXA	0	0	0	0	0	0
BTBD3	6.09E-6	0.35255222	6	0	0	0
GPR68	0	0	0	0	0	0
CNNM1	1.006E-5	0.32151636	25	0	0	0
PKP3	2.9204E-4	0.39771944	76	0	0	0
SERP2	4.5E-7	0.3279016	4	0	0	0
CTXN1	0	0	0	0	0	0
C11ORF87	1.35E-6	0.32180682	9	0	0	0
LRRN4	0.0	0.27317376	1	0	0	0
RAD9B	7.33E-6	0.33004771	6	0	0	0
TEKT4P2	0.0	0.29772024	1	0	0	0
RNF32	1.813E-5	0.35329619	47	0	0	1
TNFRSF6B	1.886E-5	0.29008559	6	0	0	0
F2RL2	0	0	0	0	0	0
SEPT4	2.96E-6	0.3405268	22	0	0	0
STYK1	0.0	0.32524526	2	0	0	0
FREM2	2.961E-5	0.33698321	26	0	0	1
MRPL27	2.025E-5	0.37955973	54	0	0	1
EME1	3.092E-5	0.36628161	34	0	0	0
ZFP106	0	0	0	0	0	0
LPAR2	1.36E-6	0.32317344	12	0	0	0
LYNX1	0.0	0.2920337	1	0	0	0
MRAP2	7.889E-5	0.35075002	55	0	0	0
SEC14L5	0.0	0.28386375	1	0	0	1
FGL2	1.2E-6	0.32551719	11	0	0	0
FRK	4.01E-6	0.35175225	14	0	0	0
SCIN	8.27E-6	0.36818262	16	0	0	0
CLSTN2	0.0	0.31432702	1	0	0	1
TOMM20L	1.56E-6	0.32047625	3	0	0	1
B4GALNT1	1.88E-6	0.33629278	8	0	0	1
HSF2BP	2.5E-7	0.32701135	7	0	0	0
GIYD2	6.12E-6	0.34907529	43	0	0	0
FGR	3.622E-5	0.35797982	32	0	0	0
INHBB	4.2E-7	0.29674926	9	0	0	0
RPS4Y1	4.54E-6	0.36597735	17	0	0	0
CPXM1	0.0	0.28940363	1	0	0	1
SPA17	3.74E-6	0.31394978	14	0	0	0
SIAE	7.755E-5	0.34995819	55	0	0	1
KCNJ5	3.24E-6	0.32451397	17	0	1	0
C7ORF13	0	0	0	0	0	0
MST1R	1.165E-5	0.3576357	36	0	0	0
SGCZ	5.25E-6	0.32346065	13	0	0	0
TMEM233	0.0	0.30203316	1	0	0	1
NEURL	2.85E-6	0.33909222	9	0	0	0
SLC29A3	0.0	0.27056029	1	0	0	0
ADAMTS17	0.0	0.31129953	1	0	0	1
SELV	8.2E-7	0.31583316	5	0	0	0
GRIN2D	4.1E-7	0.32697303	4	0	0	0
ANO5	8.3E-7	0.33379189	3	0	0	0
STX1B	5.2E-7	0.31635835	11	0	0	0
COMTD1	3.159E-5	0.37489364	65	0	0	0
MAL2	3.683E-5	0.36127055	23	0	0	0
TBX4	3.3E-7	0.30823898	3	0	0	1
STOX1	1.54E-6	0.320372	5	0	0	0
EPB41L4B	2.02E-5	0.38053459	20	0	0	0
APOBEC3G	2.31E-6	0.35296846	15	0	0	0
ZNF385A	2.8E-7	0.3545907	4	0	0	0
GBP4	0.0	0.26874057	1	0	0	0
SALL3	5.0E-8	0.31503679	7	0	0	0
ITGA8	5.13E-6	0.320078	18	0	0	0
LPAR3	5.7E-7	0.35337822	3	0	0	0
KCNA3	2.548E-5	0.32948261	30	0	0	0
ITGA2B	1.02E-5	0.35381137	21	0	0	0
DNAH11	0.0	0.28042612	1	0	0	0
POLR2J	1.5383E-4	0.36949901	73	0	0	0
RHOV	0.0	0.28709102	1	0	0	0
KATNAL2	3.3E-7	0.33854367	8	0	0	0
SIRT4	1.48E-6	0.33421168	12	0	0	0
PPP1R16B	3.765E-5	0.35926268	42	0	0	0
RAB9B	1.52E-6	0.31903501	12	0	0	0
GRAMD1C	4.32E-6	0.3345456	8	0	0	0
TXNRD1	1.4854E-4	0.39096726	55	0	0	0
SNTG2	9.28E-6	0.34174321	24	0	0	0
PTGIR	1.812E-4	0.34984119	75	0	0	1
DNLZ	1.493E-5	0.34061686	20	0	0	0
TMEM178	0	0	0	0	0	0
RG9MTD2	0	0	0	0	0	0
MTTP	2.3E-7	0.31873739	5	0	0	0
TMEM100	2.0E-6	0.29835692	4	0	0	0
MMP11	0.0	0.28390226	1	0	0	0
C19ORF40	1.529E-5	0.36260856	25	0	0	0
CEP89	1.5058E-4	0.35513226	91	0	0	0
BANK1	5.0E-7	0.32756158	4	0	0	0
RGL3	0.0	0.30110428	1	0	0	0
FNDC1	0	0	0	0	0	0
SLC4A8	2.647E-5	0.34108875	31	0	0	0
NPNT	5.58E-6	0.33263794	4	0	0	1
CRYAB	7.5442E-4	0.392314	145	0	0	0
STXBP2	1.064E-5	0.3561673	24	0	0	0
HES6	4.2E-7	0.32126957	6	0	0	0
SLC4A3	1.3E-7	0.29046809	2	0	0	0
ZSCAN29	6.66E-6	0.34327073	13	0	0	0
COX7A1	0	0	0	0	0	0
LRRC8E	2.718E-5	0.37556642	23	0	0	0
ADRB1	2.11E-6	0.32007188	10	0	0	1
ADAMTS8	0	0	0	0	0	0
AFF2	7.9E-7	0.32813939	3	0	0	0
GDF7	0	0	0	0	0	1
LIN28B	4.83E-6	0.35426056	46	0	0	0
GYPE	0	0	0	0	0	1
ADCY8	1.6E-7	0.33288927	3	0	0	0
SLCO4C1	4.0E-8	0.30285818	2	0	0	0
COCH	1.954E-5	0.35490641	15	0	0	0
MATN3	7.17E-6	0.30933245	7	0	0	1
LAPTM5	2.399E-5	0.35421559	28	0	0	0
CYP7B1	1.0E-7	0.29547139	2	0	0	0
RARRES2	0	0	0	0	0	0
NDN	1.5644E-4	0.3624908	74	0	0	0
FAM26F	0	0	0	0	0	0
GALNTL6	0.0	0.30236044	1	0	0	0
SMOC1	2.473E-5	0.36780246	26	0	0	0
MPZL2	1.633E-5	0.34810995	12	0	0	0
GRTP1	2.97E-6	0.33197835	7	0	0	0
CELSR2	2.722E-5	0.35539611	26	0	0	1
ANKLE1	0	0	0	0	0	0
SNX10	1.37E-6	0.33705105	4	0	0	0
RSPH9	2.18E-6	0.34538103	15	0	0	1
PLCXD3	0	0	0	0	0	0
DBC1	3.92E-6	0.35103684	28	0	0	0
ACTC1	0.00147588	0.4304852	569	0	0	1
MCOLN3	1.3358E-4	0.33796278	59	0	0	0
FEZF1	0.0	0.24342794	1	0	0	0
C10ORF25	0	0	0	0	0	1
GNMT	1.57E-5	0.34053372	24	0	0	0
BST1	0.0	0.25489868	3	0	0	0
SPRED3	0.0	0.28042612	1	0	0	0
TMEM52	0	0	0	0	0	0
COBL	1.355E-5	0.39186406	40	0	0	1
MMP19	0	0	0	0	0	0
FBXO6	0.00332416	0.43263218	622	0	0	0
EPHA3	5.273E-5	0.35733037	33	0	0	0
SFRP4	2.12E-6	0.32713914	19	1	0	0
KCNH1	2.008E-5	0.32615768	9	0	0	0
VSTM4	0.0	0.31265407	1	0	0	1
SNAI3	1.36E-6	0.3520111	10	0	0	0
SCN4B	0	0	0	0	0	1
EVX1	0.0	0.29169788	1	0	0	0
LOC145814	0	0	0	0	0	0
ITGB4	7.628E-5	0.37904413	51	0	0	0
CACNA1A	3.0907E-4	0.35764334	100	0	0	0
SMPD3	1.2021E-4	0.32998916	12	0	0	0
MAP6	7.9E-7	0.31702929	5	0	0	0
KCND3	8.251E-5	0.36315915	37	0	0	0
CADM4	8.05E-6	0.33648203	8	0	0	0
P2RX7	6.1E-7	0.30586817	5	0	0	0
UBA7	1.34E-6	0.32111552	11	0	0	0
NR5A2	3.98E-6	0.33577345	23	0	0	0
EMR2	1.1E-7	0.31627468	2	0	0	0
KCNH3	0	0	0	0	0	1
DCC	1.3901E-4	0.34653199	47	0	0	0
ADRA1D	1.213E-5	0.34845048	14	0	0	1
ACOT4	0.0	0.27187399	1	0	0	0
KCNJ3	2.8E-6	0.33300845	7	0	0	0
DNER	0.0	0.33206395	1	0	0	0
LUZP2	1.73E-6	0.33463922	2	0	0	0
TMC7	9.0E-8	0.30308297	4	0	0	1
CHL1	1.01E-6	0.30582347	7	0	0	0
NLGN4X	2.2E-7	0.30908117	3	0	0	1
PRG-3	0	0	0	0	0	0
BTG4	0.0	0.2640819	1	0	0	0
RAPGEFL1	2.4E-7	0.33692218	3	0	0	0
P4HA3	6.486E-5	0.36649811	67	0	0	0
PRRT4	0.0	0.32837753	1	0	0	1
NUP62CL	4.77E-6	0.36672289	11	0	0	1
NHLRC1	5.3E-6	0.33667149	23	0	0	1
C1QTNF2	1.717E-5	0.33507455	28	0	0	0
PRPH2	0.0	0.2997082	2	0	0	0
ZNF22	1.707E-5	0.36984183	35	0	0	1
RRAD	3.13E-6	0.34712834	17	0	0	0
FRMD4B	0.0	0.32118945	3	0	0	0
CNTNAP2	2.75E-6	0.32195535	12	1	0	0
HRK	9.4E-7	0.33507455	8	0	0	0
APOL3	0	0	0	0	0	0
HEXDC	6.37E-6	0.3348333	10	0	0	1
FBLN2	2.901E-5	0.32093701	15	1	0	0
C17ORF101	0	0	0	0	0	0
CPZ	6.0E-8	0.30535493	3	0	0	1
CACNG8	0	0	0	0	0	1
EYA2	7.36E-5	0.36069459	95	0	0	0
GPR88	0	0	0	0	0	0
KIAA1797	0	0	0	0	0	0
TNFSF13B	1.8911E-4	0.37446599	116	0	0	0
SOX21	0.0	0.30188611	3	1	0	0
C8ORF45	0	0	0	0	0	0
CELF6	0	0	0	0	0	0
PLA2G7	0.0	0.2609292	1	0	0	0
BDKRB1	0	0	0	0	0	0
LAMC2	6.7E-7	0.32217839	8	0	0	0
PCDP1	0	0	0	0	0	1
MUC17	0	0	0	0	0	0
LMO7	4.167E-5	0.39256237	65	0	0	0
FXYD3	4.66E-6	0.33290913	9	0	0	0
FXYD6	1.322E-5	0.34654634	17	0	0	0
ATP2A3	1.3946E-4	0.36326947	52	0	0	0
RGS7BP	8.9E-7	0.31980287	4	0	0	1
NAT1	3.49E-6	0.34701322	5	0	0	0
MAPK4	7.39E-6	0.33559173	16	0	0	0
C1ORF116	1.43E-6	0.3525745	8	0	0	0
ADORA2A	1.01E-6	0.31165882	15	0	0	0
AGTR1	3.604E-5	0.33905101	33	0	0	0
EIF4EBP3	1.1E-7	0.33060169	9	0	0	0
SHC2	2.21E-6	0.34820407	11	0	0	0
HOMER2	6.62E-6	0.349425	16	0	0	0
PCDH19	1.2E-7	0.26987991	2	0	0	1
ANGPT2	1.52E-6	0.32939834	14	0	0	0
SERPINB5	1.3988E-4	0.37507841	93	0	0	0
DNAJA4	1.315E-5	0.37196179	51	0	0	0
TCEAL7	0.0	0.29877755	1	0	0	0
DHDH	1.0E-8	0.28215586	2	0	0	0
FAM47E	0.0	0.27691035	1	0	0	1
LRRN3	1.4E-7	0.3310004	3	0	0	0
ZSWIM1	0.0	0.34399014	2	0	0	1
RDH5	6.06E-6	0.33422503	8	0	0	0
KCNE3	1.17E-6	0.32648843	10	0	0	0
TIMM23	5.396E-5	0.38431697	48	0	0	0
PARG	5.5E-7	0.35103684	9	0	0	0
DNTTIP1	8.757E-5	0.38064707	41	0	0	0
WFDC3	0	0	0	0	0	0
CBLN3	0	0	0	0	0	1
GHDC	4.41E-5	0.36721355	26	0	0	0
ASTE1	2.12E-6	0.33174153	14	0	0	0
NEK11	1.46E-6	0.36165295	12	0	0	0
MIXL1	0	0	0	0	0	0
GLB1L3	3.15E-6	0.32784381	6	0	0	0
COL23A1	2.7E-7	0.32854508	3	0	0	0
ANGPTL1	0	0	0	0	0	0
VWA1	3.36E-6	0.3152919	14	0	0	1
CLDN5	0.0	0.29944018	3	0	0	0
BARX2	0.0	0.30063928	1	0	0	0
MYOZ3	1.0E-7	0.30824465	3	0	0	0
SCAMP5	2.18E-6	0.31202475	5	0	0	1
AMPD3	1.88E-6	0.32115248	3	0	0	1
MT1F	1.0E-8	0.29510162	2	0	0	0
STAP2	2.58E-6	0.3467473	14	0	0	0
OAS2	2.2E-6	0.33762881	8	0	0	0
MCIDAS	0.0	0.28262741	2	0	0	0
ENPEP	2.0E-8	0.26910774	2	0	0	0
PAQR5	1.87E-6	0.33666472	4	0	0	0
SPDYA	1.43E-6	0.3440679	10	0	0	0
DHH	6.1E-7	0.3208386	6	0	0	0
SOX8	9.5E-7	0.3028527	6	0	0	0
EFCAB1	0	0	0	0	0	0
KLK15	5.8E-6	0.32210401	10	0	0	0
SEMA3E	0.0	0.30203316	1	0	0	0
LRRIQ3	2.5E-7	0.3108083	4	0	0	0
TNNI3K	2.83E-6	0.33141975	9	0	0	1
ALDH1A2	7.5E-7	0.3516045	9	0	0	0
CAPS2	0	0	0	0	0	0
LAD1	1.8E-7	0.36924638	8	0	0	1
NAP1L2	4.0E-7	0.32214739	5	0	0	1
RHBDL3	2.6E-7	0.32272491	5	0	0	0
RXFP3	5.586E-5	0.32981364	2	0	0	1
NTRK3	7.17E-5	0.37259091	48	0	1	0
MAPK13	8.78E-6	0.36177017	18	0	0	0
CYP2J2	1.63E-6	0.31336802	4	0	0	0
TTBK1	7.0E-7	0.32821015	10	0	0	1
TEK	5.681E-5	0.35615972	27	0	0	0
DIRAS1	1.14E-5	0.33462584	8	0	0	0
RAB42	0	0	0	0	0	0
EHF	8.68E-6	0.35348268	9	0	0	0
NUDT14	8.6E-7	0.32340442	10	0	0	0
CDH8	3.69E-6	0.33234739	17	0	0	1
HR	8.6E-7	0.33989768	14	0	0	0
SYCP2	6.3E-7	0.30806315	3	0	0	1
IFI35	9.2E-7	0.31830713	8	0	0	0
CACNA1S	1.0E-6	0.31622091	4	0	0	1
KIF21B	1.323E-5	0.36466206	32	0	0	1
HOXD9	1.926E-5	0.33548413	10	0	0	0
NRL	9.3E-7	0.31507236	10	0	0	0
CACNA2D3	0	0	0	0	0	0
TLE6	5.0E-8	0.30188611	5	0	0	0
NUDT13	1.52E-6	0.32038426	5	0	0	0
DNAH6	1.1E-7	0.3146815	3	0	0	0
IL1RL2	5.35E-6	0.33183359	12	0	0	1
PAX2	1.322E-5	0.35242606	23	0	0	0
SRMS	3.5E-7	0.32175735	4	0	0	0
EDA	1.439E-4	0.36184836	83	0	0	0
LACTB2	1.527E-5	0.34202946	57	0	0	0
EVI2A	4.69E-6	0.34173624	9	0	0	0
LCP1	1.37E-5	0.36707667	34	0	0	0
GRIA1	2.116E-5	0.34238619	25	0	0	1
C6ORF186	0	0	0	0	0	0
LASS1	0	0	0	0	0	0
PPP1R14A	3.53E-6	0.34722914	20	0	0	0
CYS1	0.0	0.32430024	1	0	0	0
TBR1	3.75E-6	0.35998108	13	0	0	1
RBM11	1.331E-5	0.35221105	18	0	0	0
ZNF233	0.0	0.26343367	1	0	0	1
AFMID	1.944E-5	0.35358719	8	0	0	0
TK1	9.1005E-4	0.40705081	196	0	0	0
CXCL6	0.0	0.24798554	1	0	0	0
ABCB4	3.0E-8	0.25277811	2	0	0	0
CYP26A1	7.0E-8	0.2993117	2	0	0	0
C1ORF54	0	0	0	0	0	0
ABHD1	0.0	0.26668578	1	0	0	0
WNT5B	3.6E-7	0.28437001	3	0	0	0
PECR	2.65E-6	0.32477207	14	0	0	1
TMEM169	0.0	0.25956589	1	0	0	0
CCZ1	2.57E-6	0.33043204	13	0	0	0
TMEM150C	0	0	0	0	0	0
SHH	6.0E-8	0.30770645	9	0	0	0
RAMP1	3.451E-5	0.33085649	8	0	0	0
SLC45A1	0.0	0.30546636	1	0	0	1
PRKCZ	2.8962E-4	0.40709041	227	0	0	0
COL15A1	1.5E-7	0.35399839	2	0	0	1
HS6ST3	0	0	0	0	0	0
C8ORF85	0	0	0	0	0	0
KCND1	0	0	0	0	0	0
SLC47A1	1.148E-5	0.31698728	27	0	0	1
DAGLA	3.06E-6	0.36107577	6	0	0	0
COX6B2	3.0E-8	0.29208974	2	0	0	1
PAP2D	0	0	0	0	0	0
FOXJ1	9.65E-6	0.33056905	24	0	0	1
GSDMA	3.97E-6	0.36178581	17	0	0	0
SORCS3	0.0	0.29938128	2	0	0	0
NNAT	7.7E-7	0.32996314	3	0	0	0
SYT9	1.29E-6	0.32319215	7	0	0	1
HAP1	5.014E-5	0.35853946	78	0	0	0
KCNN4	1.6E-7	0.32722866	6	0	0	1
XKRX	3.95E-6	0.3231173	9	0	0	1
OVOL2	3.9E-7	0.34565913	5	0	0	0
LAMP3	4.287E-5	0.34324258	64	0	0	0
ENO3	2.289E-5	0.38185385	54	0	0	0
OR2B11	0	0	0	0	0	0
NEK10	1.0E-8	0.31223424	2	0	0	0
GCOM1	2.1E-7	0.32266893	4	0	0	0
TNFAIP6	2.525E-5	0.32386111	2	0	0	0
MARCH1	8.11E-6	0.34277876	13	0	0	0
DLEC1	0.0	0.29640777	1	0	0	0
GPC2	0.0	0.27960186	1	0	0	0
PTGDR	3.131E-5	0.3464101	12	0	0	0
KCNK15	0	0	0	0	0	0
WASH1	1.29E-6	0.34036757	15	0	0	0
NFAM1	0.0	0.26895643	1	0	0	0
CACNA1D	3.18E-6	0.33688828	2	0	1	0
PRDM7	0.0	0.28029466	1	0	0	0
RAB39	0	0	0	0	0	0
PCDHAC2	2.604E-5	0.32984613	36	0	0	1
APBB1IP	4.92E-6	0.3288613	11	0	0	0
SLC2A2	4.24E-6	0.34424477	6	0	0	0
SLC12A8	0.0	0.2560957	1	0	0	0
PTGDS	1.991E-5	0.35191491	25	0	0	0
BMP5	9.0E-8	0.29200823	3	0	0	0
IGSF11	0.0	0.0	2	0	0	0
SSC5D	9.1E-7	0.31936973	11	0	0	0
STXBP5L	9.5854E-4	0.39862854	203	0	0	0
ZMAT1	2.47E-6	0.35467333	9	0	0	1
TC2N	1.59E-6	0.34432265	6	0	0	0
GYG2	2.096E-5	0.34329888	18	0	0	0
BRSK2	8.2E-7	0.35364694	13	0	0	0
ZNF214	6.83E-6	0.32829382	13	0	0	0
NPAS1	1.72E-6	0.3322155	15	0	0	0
TMSB15A	0	0	0	0	0	0
BST2	5.91E-6	0.3653544	27	0	0	0
MRPL10	7.947E-5	0.38699089	107	0	0	1
NLRP14	0.0	0.28989974	1	0	0	1
DNAH10	1.03E-6	0.32627845	4	0	0	0
NOXA1	6.54E-6	0.33805832	15	0	0	0
ZNF157	2.0E-8	0.32004741	6	0	0	1
CXCL16	2.64E-5	0.36995625	15	0	0	0
AP001372.2	0	0	0	0	0	0
LIPT2	0	0	0	0	0	0
SYT7	6.3E-7	0.34884981	9	0	0	1
CA9	5.4608E-4	0.38806731	217	0	0	0
MRPL28	4.395E-5	0.38100223	87	0	0	1
LRRC46	4.7E-6	0.32725425	21	0	0	1
SMC1B	3.7E-7	0.30971012	8	0	0	0
ZNF662	5.0E-8	0.30792717	3	0	0	1
PPAP2C	5.63E-6	0.3429543	13	0	0	0
CDK5R2	1.5E-7	0.3151376	2	0	0	0
LVRN	0	0	0	0	0	0
PCSK4	0.0	0.25449571	1	0	0	0
DCTN1	6.552E-4	0.42186161	285	0	0	0
PIK3AP1	6.29E-6	0.33493378	21	0	0	0
PTCHD2	2.4E-7	0.29590484	3	0	0	0
FBXO44	1.002E-5	0.35136099	20	0	0	1
TEKT2	3.348E-5	0.33784002	19	0	0	0
LINGO1	1.938E-5	0.33184674	19	0	0	0
RIIAD1	0	0	0	0	0	1
QPRT	3.65E-5	0.34962202	59	0	0	0
TTLL13	0	0	0	0	0	1
B4GALNT4	3.8E-7	0.2874706	5	0	0	0
ENPP5	3.9E-7	0.34217626	2	0	0	0
TAL2	2.1E-7	0.30976169	8	0	1	0
NMU	1.3134E-4	0.31755244	18	0	0	0
FBXO2	1.3304E-4	0.36271069	48	0	0	1
LRRTM2	1.279E-5	0.31864033	14	0	0	0
SLC35F1	1.0E-7	0.30914395	4	0	0	0
EPHX2	2.48E-6	0.33101348	17	0	0	0
IL7R	2.458E-5	0.37835028	101	0	1	0
MFSD7	0.0	0.27056029	1	0	0	0
CNTN1	3.945E-5	0.34013937	29	0	0	0
SHANK3	9.93E-6	0.35981087	20	0	0	0
NFE2	1.465E-5	0.33570612	21	0	0	0
PROM1	2.049E-5	0.34773398	16	0	0	0
RPRML	0	0	0	0	0	1
SYCP2L	0.0	0.32978116	1	0	0	0
TSPAN33	7.2E-7	0.32560582	6	0	0	0
NTRK1	0.01707665	0.48891744	1981	1	1	0
TRPV4	1.68E-6	0.33054947	16	0	0	1
C1QL3	0	0	0	0	0	1
DMRT2	0.0	0.25956589	1	0	0	1
ACBD7	1.15E-6	0.32035974	11	0	0	1
ANKRD5	0	0	0	0	0	0
MRO	0	0	0	0	0	0
NFASC	3.8E-7	0.34474096	3	0	0	1
GGT5	1.0E-7	0.28202277	4	0	0	0
REEP6	5.418E-5	0.3473516	36	0	0	0
LYPD5	0.0	0.27421178	1	0	0	1
NPEPL1	1.37E-5	0.36462235	23	0	0	1
APOE	2.9096E-4	0.38469669	135	0	0	0
HMHA1	1.0E-8	0.33116408	3	0	0	0
CD74	6.65E-5	0.3770381	111	0	1	0
FMO1	0.0	0.27056029	1	0	0	0
SLC6A4	1.11E-6	0.34056836	15	0	0	1
VIPR1	1.4616E-4	0.36062466	31	0	0	0
GPC5	0.0	0.29028678	1	1	0	0
NDP	6.85E-6	0.34136694	8	0	0	1
HSPB2	3.3016E-4	0.3677459	105	0	0	0
IL17C	0	0	0	0	0	0
FOXE1	6.258E-5	0.35610669	77	0	0	0
RAPGEF4	7.24E-6	0.332143	16	0	0	0
STEAP1B	9.8E-7	0.33207712	2	0	0	1
VAMP8	1.834E-5	0.35884685	49	0	0	0
GUSBL2	0	0	0	0	0	0
KAT2A	1.6851E-4	0.38819329	166	0	0	0
MICALCL	0.0	0.2953984	1	0	0	0
NKX2-8	0	0	0	0	0	0
KCNK5	1.68E-6	0.35598554	4	0	0	0
BEX2	1.793E-5	0.34405376	33	0	0	0
PRCD	0	0	0	0	0	1
TMEM130	0	0	0	0	0	1
C19ORF46	0	0	0	0	0	0
MYRIP	1.25E-6	0.32875798	3	0	0	0
UCP1	2.1E-7	0.29193695	3	0	0	1
CPVL	4.419E-5	0.3747342	64	0	0	0
TFCP2L1	9.0E-8	0.30477681	4	0	0	0
MSL3P1	0.0	0.33153788	3	0	0	0
STAG3L2	0	0	0	0	0	1
SYT15	0.0	0.32999566	2	0	0	1
FAM174B	0	0	0	0	0	1
EPCAM	1.7E-7	0.32385484	6	0	0	0
HSF4	7.03E-6	0.33218254	19	0	0	1
PBX4	2.02E-6	0.31739592	5	0	0	0
PSD2	0.0	0.28569478	2	0	0	1
EGR4	1.0E-8	0.29404429	2	0	0	0
