Gene	oncogene_p_value	oncogene_q_value	tsg_p_value	tsg_q_value
SPACA3	0.762413511	0.973841336	0.285502588	0.930786542
CNNM2	0.471255789	0.912244252	0.450661945	0.930786542
IGSF3	0.304647235	0.859483554	0.72621629	0.941296519
OPRL1	0.547997821	0.92841979	0.379449741	0.930786542
VWA5B2	0.331980387	0.870127088	0.650809044	0.937424468
OAS3	0.331980387	0.870127088	0.650809044	0.937424468
RMDN2	0.331980387	0.870127088	0.650809044	0.937424468
STX1B	0.296366113	0.859483554	0.781520022	0.946505906
WDR49	0.372105693	0.886207344	0.564211387	0.934919202
DTX3L	0.394175974	0.897655087	0.527256878	0.934650967
ACOT7	0.383110869	0.888551933	0.544903296	0.934650967
P2RX4	0.418191229	0.903472222	0.510721874	0.934650967
CD28	0.547997821	0.92841979	0.379449741	0.930786542
SLC26A2	0.383110869	0.888551933	0.544903296	0.934650967
DEDD2	0.36184146	0.88601921	0.584015255	0.937424468
SLC35C2	0.457455734	0.910299219	0.450661945	0.930786542
NOSTRIN	0.383110869	0.888551933	0.544903296	0.934650967
DCAF15	0.430847181	0.905449966	0.479286298	0.934070569
HR	0.304647235	0.859483554	0.72621629	0.941296519
SNX18	0.430847181	0.905449966	0.479286298	0.934070569
PLXND1	0.341743394	0.878775567	0.627518387	0.937424468
DBX2	0.699013893	0.967820774	0.308281122	0.930786542
UGCG	0.36184146	0.88601921	0.584015255	0.937424468
ZNF830	0.372105693	0.886207344	0.584015255	0.937424468
URGCP	0.331980387	0.870127088	0.674639063	0.938319315
ADPRHL2	0.264821575	0.845062587	0.867376737	0.949922434
NPTX1	0.272318169	0.847042874	0.838267502	0.946505906
GCM2	0.296366113	0.859483554	0.781520022	0.946505906
C2orf57	0.383110869	0.888551933	0.544903296	0.934650967
TBX6	0.36184146	0.88601921	0.584015255	0.937424468
DGKK	0.471255789	0.912244252	0.437624625	0.930786542
FAM63A	0.406140016	0.901087876	0.527256878	0.934650967
FAM101A	0.638670662	0.953926276	0.341340234	0.930786542
CCDC79	0.762413511	0.973841336	0.285502588	0.930786542
BTD	0.406140016	0.901087876	0.527256878	0.934650967
GLIS1	0.35171343	0.880723056	0.604990466	0.937424468
CCDC102A	0.296366113	0.859483554	0.753685644	0.946505906
ZNF273	0.658567148	0.955799794	0.332890221	0.930786542
CSTL1	0.720828112	0.971474473	0.300479433	0.930786542
NAT14	0.699013893	0.967820774	0.308281122	0.930786542
ATAD3B	0.304647235	0.859483554	0.72621629	0.941296519
KLK15	0.280272405	0.852427506	0.809773904	0.946505906
TM7SF3	0.547997821	0.92841979	0.379449741	0.930786542
MTFR2	0.58233179	0.934572003	0.35977118	0.930786542
TDP2	0.471255789	0.912244252	0.437624625	0.930786542
PRKAR1B	0.243154454	0.83704051	0.947398529	0.969260353
FMN1	0.457455734	0.910299219	0.450661945	0.930786542
TMEM258	0.531609916	0.927449862	0.390411332	0.930786542
GALNT13	0.547997821	0.92841979	0.379449741	0.930786542
TMEM223	0.741242168	0.971474473	0.300479433	0.930786542
SERP2	0.58233179	0.934572003	0.35977118	0.930786542
SPSB1	0.515587034	0.922108545	0.401808771	0.930786542
NKPD1	0.406140016	0.901087876	0.527256878	0.934650967
CNPY4	0.762413511	0.973841336	0.292824843	0.930786542
CD69	0.720828112	0.971474473	0.308281122	0.930786542
CFB	0.383110869	0.888551933	0.564211387	0.934919202
RNF113A	0.331980387	0.870127088	0.650809044	0.937424468
CTDSP2	0.272318169	0.847042874	0.838267502	0.946505906
PAX6	0.313707437	0.864839291	0.72621629	0.941296519
ICAM4	0.678539907	0.958193568	0.316311632	0.930786542
PLBD2	0.304647235	0.859483554	0.72621629	0.941296519
RS1	0.805290112	0.980179045	0.27110869	0.930786542
CD97	0.36184146	0.88601921	0.604990466	0.937424468
LLGL1	0.304647235	0.859483554	0.753685644	0.946505906
SLC17A9	0.372105693	0.886207344	0.564211387	0.934919202
GPR137C	0.272318169	0.847042874	0.838267502	0.946505906
FAM214B	0.638670662	0.953926276	0.350286026	0.930786542
LIPE	0.28828657	0.855675938	0.809773904	0.946505906
CNTNAP3	0.35171343	0.880723056	0.627518387	0.937424468
SLC22A5	0.515587034	0.922108545	0.401808771	0.930786542
AMPD3	0.720828112	0.971474473	0.300479433	0.930786542
EMC2	0.35171343	0.880723056	0.627518387	0.937424468
AHR	0.341743394	0.878775567	0.650809044	0.937424468
DNAJC28	0.547997821	0.92841979	0.390411332	0.930786542
SERPINF2	0.485982021	0.916396137	0.437624625	0.930786542
UBXN2A	0.61928085	0.95263996	0.350286026	0.930786542
TOMM34	0.444129665	0.90941544	0.464461999	0.932939374
SCRG1	0.658567148	0.955799794	0.324412966	0.930786542
TMEM192	0.60049033	0.938681656	0.35977118	0.930786542
KLHL32	0.313707437	0.864839291	0.72621629	0.941296519
EFCAB1	0.638670662	0.953926276	0.341340234	0.930786542
ECM1	0.500550259	0.920048067	0.413440479	0.930786542
EIF1	0.678539907	0.958193568	0.324412966	0.930786542
LBHD1	0.638670662	0.953926276	0.332890221	0.930786542
SLC32A1	0.406140016	0.901087876	0.544903296	0.934650967
LPPR2	0.406140016	0.901087876	0.527256878	0.934650967
METTL15	0.36184146	0.88601921	0.604990466	0.937424468
PTPDC1	0.92063198	0.980384111	0.233816399	0.930786542
RNF34	0.430847181	0.905449966	0.479286298	0.934070569
PTK6	0.762413511	0.973841336	0.285502588	0.930786542
SLC51A	0.485982021	0.916396137	0.437624625	0.930786542
OXSM	0.762413511	0.973841336	0.285502588	0.930786542
TMEM159	0.58233179	0.934572003	0.369555979	0.930786542
CMYA5	0.678539907	0.958193568	0.316311632	0.930786542
CSTA	0.485982021	0.916396137	0.437624625	0.930786542
OGFOD3	0.418191229	0.903472222	0.494693544	0.934070569
NELL1	0.35171343	0.880723056	0.604990466	0.937424468
TOMM5	0.658567148	0.955799794	0.324412966	0.930786542
CTF1	0.658567148	0.955799794	0.332890221	0.930786542
MLLT11	0.471255789	0.912244252	0.450661945	0.930786542
CD40LG	0.394175974	0.897655087	0.544903296	0.934650967
CHDC2	0.699013893	0.967820774	0.316311632	0.930786542
C22orf29	0.865360937	0.980384111	0.251876873	0.930786542
PROX2	0.531609916	0.927449862	0.390411332	0.930786542
HIST1H2BH	0.331980387	0.870127088	0.674639063	0.938319315
TOX3	0.564728957	0.931237086	0.369555979	0.930786542
OR9I1	0.394175974	0.897655087	0.544903296	0.934650967
FAH	0.36184146	0.88601921	0.604990466	0.937424468
PEG3	0.372105693	0.886207344	0.584015255	0.937424468
FAM214A	0.430847181	0.905449966	0.494693544	0.934070569
ADAM7	0.341743394	0.878775567	0.627518387	0.937424468
MAML3	0.418191229	0.903472222	0.510721874	0.934650967
RAB25	0.638670662	0.953926276	0.341340234	0.930786542
TOPAZ1	0.805290112	0.980179045	0.277847998	0.930786542
FRMD4B	0.78385726	0.977027027	0.285502588	0.930786542
LINC01587	0.741242168	0.971474473	0.292824843	0.930786542
KRTCAP2	0.61928085	0.95263996	0.341340234	0.930786542
PRKRIP1	0.418191229	0.903472222	0.527256878	0.934650967
OR10C1	0.313707437	0.864839291	0.72621629	0.941296519
PCDHB8	0.383110869	0.888551933	0.564211387	0.934919202
EVI5	0.430847181	0.905449966	0.510721874	0.934650967
PRPSAP2	0.444129665	0.90941544	0.494693544	0.934070569
DNAH2	0.515587034	0.922108545	0.413440479	0.930786542
MBLAC2	0.741242168	0.971474473	0.300479433	0.930786542
FMO2	0.430847181	0.905449966	0.494693544	0.934070569
FAM213B	0.564728957	0.931237086	0.379449741	0.930786542
SSC4D	0.638670662	0.953926276	0.341340234	0.930786542
CAMKK1	0.444129665	0.90941544	0.494693544	0.934070569
RSRP1	0.35171343	0.880723056	0.650809044	0.937424468
TMTC4	0.430847181	0.905449966	0.510721874	0.934650967
HIST1H2BM	0.58233179	0.934572003	0.369555979	0.930786542
ADAM11	0.58233179	0.934572003	0.369555979	0.930786542
RIT2	0.61928085	0.95263996	0.350286026	0.930786542
HEXIM2	0.547997821	0.92841979	0.390411332	0.930786542
SLC15A1	0.457455734	0.910299219	0.464461999	0.932939374
NSA2	0.444129665	0.90941544	0.479286298	0.934070569
SSBP2	0.444129665	0.90941544	0.479286298	0.934070569
CFAP126	0.805290112	0.980179045	0.277847998	0.930786542
TNNT3	0.372105693	0.886207344	0.584015255	0.937424468
SLC17A6	0.60049033	0.938681656	0.35977118	0.930786542
JUND	0.418191229	0.903472222	0.510721874	0.934650967
PTPRCAP	0.58233179	0.934572003	0.369555979	0.930786542
LAMP5	0.313707437	0.864839291	0.72621629	0.941296519
HIATL1	0.699013893	0.967820774	0.316311632	0.930786542
TBC1D10B	0.60049033	0.938681656	0.35977118	0.930786542
SPOCD1	0.699013893	0.967820774	0.316311632	0.930786542
TMEM220	0.658567148	0.955799794	0.341340234	0.930786542
FOXN4	0.658567148	0.955799794	0.332890221	0.930786542
COLCA2	0.547997821	0.92841979	0.390411332	0.930786542
ZBED9	0.280272405	0.852427506	0.838267502	0.946505906
TNNI3	0.418191229	0.903472222	0.527256878	0.934650967
SIDT2	0.406140016	0.901087876	0.527256878	0.934650967
KLHL29	0.485982021	0.916396137	0.437624625	0.930786542
NRROS	0.372105693	0.886207344	0.604990466	0.937424468
TXNL4B	0.322789431	0.870127088	0.699705802	0.94123122
AVPI1	0.58233179	0.934572003	0.369555979	0.930786542
PMVK	0.58233179	0.934572003	0.369555979	0.930786542
TCP11L1	0.515587034	0.922108545	0.413440479	0.930786542
HGD	0.250046309	0.838895997	0.947398529	0.969260353
CC2D2A	0.564728957	0.931237086	0.379449741	0.930786542
SNRNP35	0.500550259	0.920048067	0.425339145	0.930786542
CLIP4	0.36184146	0.88601921	0.604990466	0.937424468
COL10A1	0.372105693	0.886207344	0.604990466	0.937424468
ZMYND12	0.500550259	0.920048067	0.425339145	0.930786542
SIX5	0.406140016	0.901087876	0.544903296	0.934650967
DDX26B	0.331980387	0.870127088	0.674639063	0.938319315
ORC6	0.547997821	0.92841979	0.390411332	0.930786542
NRGN	0.304647235	0.859483554	0.781520022	0.946505906
AOX1	0.257194225	0.843150563	0.923650232	0.966237319
BUB1	0.36184146	0.88601921	0.604990466	0.937424468
OR10A7	0.313707437	0.864839291	0.72621629	0.941296519
CLEC2L	0.485982021	0.916396137	0.437624625	0.930786542
SLC26A6	0.341743394	0.878775567	0.650809044	0.937424468
CPA3	0.28828657	0.855675938	0.838267502	0.946505906
HAPLN2	0.471255789	0.912244252	0.464461999	0.932939374
NR5A1	0.564728957	0.931237086	0.379449741	0.930786542
LINC01465	0.515587034	0.922108545	0.413440479	0.930786542
ESRP1	0.547997821	0.92841979	0.401808771	0.930786542
HCST	0.762413511	0.973841336	0.300479433	0.930786542
ZNF213	0.383110869	0.888551933	0.584015255	0.937424468
LIME1	0.699013893	0.967820774	0.324412966	0.930786542
TCTE1	0.372105693	0.886207344	0.584015255	0.937424468
DCLRE1B	0.372105693	0.886207344	0.604990466	0.937424468
CC2D1B	0.638670662	0.953926276	0.350286026	0.930786542
BMP1	0.406140016	0.901087876	0.564211387	0.934919202
JPH2	0.383110869	0.888551933	0.564211387	0.934919202
DUSP23	0.28828657	0.855675938	0.838267502	0.946505906
SOGA3	0.331980387	0.870127088	0.699705802	0.94123122
LRRC18	0.313707437	0.864839291	0.753685644	0.946505906
TMED5	0.485982021	0.916396137	0.450661945	0.930786542
AIP	0.444129665	0.90941544	0.494693544	0.934070569
FABP5	0.383110869	0.888551933	0.564211387	0.934919202
DNASE1L1	0.805290112	0.980179045	0.285502588	0.930786542
HIST1H2BK	0.547997821	0.92841979	0.401808771	0.930786542
ATF5	0.372105693	0.886207344	0.604990466	0.937424468
VN1R5	0.341743394	0.878775567	0.674639063	0.938319315
SRRM4	0.36184146	0.88601921	0.627518387	0.937424468
FAM219B	0.58233179	0.934572003	0.369555979	0.930786542
MOSPD2	0.418191229	0.903472222	0.510721874	0.934650967
C19orf66	0.444129665	0.90941544	0.479286298	0.934070569
CCDC159	0.430847181	0.905449966	0.510721874	0.934650967
CLDN1	0.720828112	0.971474473	0.316311632	0.930786542
ZNF184	0.457455734	0.910299219	0.464461999	0.932939374
C17orf53	0.531609916	0.927449862	0.401808771	0.930786542
PPIP5K1	0.515587034	0.922108545	0.425339145	0.930786542
SSPO	0.457455734	0.910299219	0.479286298	0.934070569
SCGB1D4	0.418191229	0.903472222	0.527256878	0.934650967
SPESP1	0.485982021	0.916396137	0.437624625	0.930786542
CRB1	0.444129665	0.90941544	0.479286298	0.934070569
ZNF280C	0.372105693	0.886207344	0.604990466	0.937424468
ABHD17A	0.430847181	0.905449966	0.510721874	0.934650967
SERTAD4	0.304647235	0.859483554	0.781520022	0.946505906
SDHC	0.762413511	0.973841336	0.292824843	0.930786542
AFMID	0.699013893	0.967820774	0.324412966	0.930786542
BPIFB3	0.28828657	0.855675938	0.838267502	0.946505906
CATIP	0.531609916	0.927449862	0.401808771	0.930786542
THAP11	0.35171343	0.880723056	0.627518387	0.937424468
MEDAG	0.658567148	0.955799794	0.341340234	0.930786542
CYB5R3	0.372105693	0.886207344	0.604990466	0.937424468
LRRN2	0.457455734	0.910299219	0.479286298	0.934070569
MAEA	0.394175974	0.897655087	0.564211387	0.934919202
ZFR2	0.430847181	0.905449966	0.510721874	0.934650967
PCDH20	0.331980387	0.870127088	0.674639063	0.938319315
NPY	0.322789431	0.870127088	0.72621629	0.941296519
BBS2	0.341743394	0.878775567	0.650809044	0.937424468
GNAT3	0.28828657	0.855675938	0.838267502	0.946505906
RSPH14	0.471255789	0.912244252	0.464461999	0.932939374
ZAR1	0.485982021	0.916396137	0.437624625	0.930786542
ANKRA2	0.430847181	0.905449966	0.494693544	0.934070569
ADCY2	0.35171343	0.880723056	0.650809044	0.937424468
SDF2L1	0.331980387	0.870127088	0.699705802	0.94123122
COL25A1	0.531609916	0.927449862	0.401808771	0.930786542
YAE1D1	0.500550259	0.920048067	0.425339145	0.930786542
KIAA1324L	0.61928085	0.95263996	0.350286026	0.930786542
GPN3	0.457455734	0.910299219	0.464461999	0.932939374
DCUN1D4	0.444129665	0.90941544	0.494693544	0.934070569
FOXQ1	0.741242168	0.971474473	0.308281122	0.930786542
CENPU	0.35171343	0.880723056	0.650809044	0.937424468
NUPL2	0.485982021	0.916396137	0.437624625	0.930786542
VKORC1L1	0.313707437	0.864839291	0.753685644	0.946505906
WFDC12	0.845911196	0.980384111	0.264521929	0.930786542
FAHD2A	0.280272405	0.852427506	0.867376737	0.949922434
MAGEF1	0.60049033	0.938681656	0.369555979	0.930786542
UBE2G1	0.457455734	0.910299219	0.464461999	0.932939374
DDO	0.564728957	0.931237086	0.390411332	0.930786542
KCTD19	0.35171343	0.880723056	0.650809044	0.937424468
MED13L	0.406140016	0.901087876	0.544903296	0.934650967
SI	0.699013893	0.967820774	0.324412966	0.930786542
DPY30	0.383110869	0.888551933	0.564211387	0.934919202
MYO3B	0.372105693	0.886207344	0.604990466	0.937424468
CEACAM1	0.515587034	0.922108545	0.425339145	0.930786542
POTEA	0.471255789	0.912244252	0.464461999	0.932939374
NDUFC1	0.658567148	0.955799794	0.341340234	0.930786542
OTUD7A	0.36184146	0.88601921	0.627518387	0.937424468
CHTOP	0.35171343	0.880723056	0.650809044	0.937424468
ZP3	0.58233179	0.934572003	0.379449741	0.930786542
OR2AE1	0.8259003	0.980384111	0.285502588	0.930786542
FMOD	0.304647235	0.859483554	0.781520022	0.946505906
RAB39A	0.264821575	0.845062587	0.923650232	0.966237319
CCDC65	0.531609916	0.927449862	0.413440479	0.930786542
CYP4F22	0.304647235	0.859483554	0.781520022	0.946505906
NDUFA7	0.60049033	0.938681656	0.369555979	0.930786542
TMOD4	0.430847181	0.905449966	0.527256878	0.934650967
ITPKC	0.638670662	0.953926276	0.35977118	0.930786542
PPFIBP2	0.35171343	0.880723056	0.650809044	0.937424468
TRIM45	0.331980387	0.870127088	0.699705802	0.94123122
EID1	0.250046309	0.838895997	0.967959684	0.976793667
SLC23A1	0.313707437	0.864839291	0.781520022	0.946505906
URM1	0.457455734	0.910299219	0.479286298	0.934070569
SEBOX	0.678539907	0.958193568	0.341340234	0.930786542
BEST2	0.60049033	0.938681656	0.369555979	0.930786542
TG	0.60049033	0.938681656	0.369555979	0.930786542
CYP4V2	0.845911196	0.980384111	0.27110869	0.930786542
TSEN54	0.430847181	0.905449966	0.527256878	0.934650967
RPIA	0.372105693	0.886207344	0.604990466	0.937424468
GLYCTK	0.28828657	0.855675938	0.838267502	0.946505906
ABCC9	0.35171343	0.880723056	0.674639063	0.938319315
OR4D2	0.280272405	0.852427506	0.867376737	0.949922434
PHPT1	0.457455734	0.910299219	0.479286298	0.934070569
GRIPAP1	0.457455734	0.910299219	0.479286298	0.934070569
TLR8	0.418191229	0.903472222	0.527256878	0.934650967
MROH1	0.485982021	0.916396137	0.450661945	0.930786542
ASIC2	0.60049033	0.938681656	0.369555979	0.930786542
CTC1	0.372105693	0.886207344	0.627518387	0.937424468
U2AF1L4	0.372105693	0.886207344	0.604990466	0.937424468
IL17RA	0.418191229	0.903472222	0.527256878	0.934650967
MEX3A	0.720828112	0.971474473	0.324412966	0.930786542
KRI1	0.372105693	0.886207344	0.604990466	0.937424468
AIF1L	0.457455734	0.910299219	0.479286298	0.934070569
TMEM88	0.78385726	0.977027027	0.292824843	0.930786542
CFAP221	0.406140016	0.901087876	0.564211387	0.934919202
TRAPPC2L	0.547997821	0.92841979	0.401808771	0.930786542
C16orf71	0.372105693	0.886207344	0.627518387	0.937424468
ALDH1L1	0.331980387	0.870127088	0.699705802	0.94123122
TRMT44	0.547997821	0.92841979	0.401808771	0.930786542
IFNL3	0.471255789	0.912244252	0.464461999	0.932939374
CES3	0.430847181	0.905449966	0.527256878	0.934650967
SFTPD	0.36184146	0.88601921	0.627518387	0.937424468
BRD9	0.331980387	0.870127088	0.72621629	0.941296519
ALG6	0.658567148	0.955799794	0.341340234	0.930786542
ATRNL1	0.430847181	0.905449966	0.527256878	0.934650967
SLC22A8	0.78385726	0.977027027	0.292824843	0.930786542
ARRDC4	0.500550259	0.920048067	0.450661945	0.930786542
SEPHS2	0.471255789	0.912244252	0.464461999	0.932939374
FAM73B	0.699013893	0.967820774	0.332890221	0.930786542
MYO1F	0.280272405	0.852427506	0.867376737	0.949922434
PCDHA7	0.322789431	0.870127088	0.72621629	0.941296519
KIAA0391	0.61928085	0.95263996	0.35977118	0.930786542
SLC6A15	0.564728957	0.931237086	0.390411332	0.930786542
ZNF664	0.902789431	0.980384111	0.251876873	0.930786542
BIRC8	0.845911196	0.980384111	0.27110869	0.930786542
KIAA1671	0.394175974	0.897655087	0.564211387	0.934919202
CHRDL1	0.805290112	0.980179045	0.285502588	0.930786542
CELF6	0.60049033	0.938681656	0.369555979	0.930786542
LDB3	0.383110869	0.888551933	0.604990466	0.937424468
MARCH4	0.257194225	0.843150563	0.967959684	0.976793667
GAB3	0.341743394	0.878775567	0.699705802	0.94123122
HIGD1C	0.865360937	0.980384111	0.27110869	0.930786542
PIK3AP1	0.264821575	0.845062587	0.947398529	0.969260353
C1orf216	0.515587034	0.922108545	0.437624625	0.930786542
HRASLS2	0.444129665	0.90941544	0.494693544	0.934070569
ADCY10	0.418191229	0.903472222	0.527256878	0.934650967
WNT16	0.699013893	0.967820774	0.332890221	0.930786542
FAM171A2	0.564728957	0.931237086	0.401808771	0.930786542
FGF23	0.372105693	0.886207344	0.627518387	0.937424468
MIA	0.457455734	0.910299219	0.494693544	0.934070569
LYNX1	0.444129665	0.90941544	0.527256878	0.934650967
ETHE1	0.406140016	0.901087876	0.564211387	0.934919202
ZFYVE27	0.8259003	0.980384111	0.285502588	0.930786542
ACY3	0.500550259	0.920048067	0.450661945	0.930786542
ICAM2	0.531609916	0.927449862	0.425339145	0.930786542
ZNF784	0.564728957	0.931237086	0.401808771	0.930786542
KIN	0.264821575	0.845062587	0.947398529	0.969260353
MANF	0.471255789	0.912244252	0.464461999	0.932939374
AEN	0.485982021	0.916396137	0.464461999	0.932939374
GPR123	0.372105693	0.886207344	0.627518387	0.937424468
CACNA1I	0.531609916	0.927449862	0.413440479	0.930786542
FLG	0.60049033	0.938681656	0.369555979	0.930786542
HMOX1	0.500550259	0.920048067	0.450661945	0.930786542
MUC12	0.485982021	0.916396137	0.464461999	0.932939374
NBPF1	0.406140016	0.901087876	0.544903296	0.934650967
SLC34A1	0.35171343	0.880723056	0.674639063	0.938319315
ASB16	0.444129665	0.90941544	0.494693544	0.934070569
PCDHB5	0.457455734	0.910299219	0.479286298	0.934070569
C16orf13	0.638670662	0.953926276	0.35977118	0.930786542
GPRC6A	0.296366113	0.859483554	0.838267502	0.946505906
BAI3	0.58233179	0.934572003	0.390411332	0.930786542
RPL3L	0.418191229	0.903472222	0.527256878	0.934650967
SVIP	0.658567148	0.955799794	0.341340234	0.930786542
MZT2A	0.61928085	0.95263996	0.369555979	0.930786542
GEN1	0.902789431	0.980384111	0.25815854	0.930786542
ACSF2	0.564728957	0.931237086	0.390411332	0.930786542
ATMIN	0.58233179	0.934572003	0.379449741	0.930786542
KLF12	0.531609916	0.927449862	0.413440479	0.930786542
ABCA9	0.394175974	0.897655087	0.564211387	0.934919202
GSAP	0.394175974	0.897655087	0.564211387	0.934919202
SULT1A2	0.406140016	0.901087876	0.564211387	0.934919202
M1AP	0.418191229	0.903472222	0.544903296	0.934650967
IFT52	0.741242168	0.971474473	0.316311632	0.930786542
SPATA22	0.430847181	0.905449966	0.527256878	0.934650967
TSNAXIP1	0.564728957	0.931237086	0.390411332	0.930786542
CLCN6	0.547997821	0.92841979	0.401808771	0.930786542
NTRK3	0.28828657	0.855675938	0.867376737	0.949922434
PRPH2	0.406140016	0.901087876	0.564211387	0.934919202
ARF3	0.394175974	0.897655087	0.584015255	0.937424468
FAM195A	0.304647235	0.859483554	0.809773904	0.946505906
NADSYN1	0.638670662	0.953926276	0.350286026	0.930786542
EXD2	0.331980387	0.870127088	0.72621629	0.941296519
DRD3	0.280272405	0.852427506	0.867376737	0.949922434
SEMA3A	0.406140016	0.901087876	0.564211387	0.934919202
WNT4	0.430847181	0.905449966	0.527256878	0.934650967
HEATR4	0.485982021	0.916396137	0.464461999	0.932939374
KIAA0586	0.500550259	0.920048067	0.450661945	0.930786542
SCLY	0.515587034	0.922108545	0.425339145	0.930786542
SCN7A	0.500550259	0.920048067	0.437624625	0.930786542
FBRS	0.60049033	0.938681656	0.369555979	0.930786542
SURF1	0.485982021	0.916396137	0.464461999	0.932939374
IVD	0.35171343	0.880723056	0.674639063	0.938319315
FOXRED2	0.341743394	0.878775567	0.699705802	0.94123122
FOXC1	0.471255789	0.912244252	0.464461999	0.932939374
NRARP	0.444129665	0.90941544	0.510721874	0.934650967
PATE4	0.60049033	0.938681656	0.369555979	0.930786542
TMEM50A	0.430847181	0.905449966	0.527256878	0.934650967
GCNT2	0.394175974	0.897655087	0.584015255	0.937424468
LAMB4	0.430847181	0.905449966	0.527256878	0.934650967
EYS	0.699013893	0.967820774	0.332890221	0.930786542
BDP1	0.865360937	0.980384111	0.27110869	0.930786542
TBC1D14	0.58233179	0.934572003	0.390411332	0.930786542
MICAL2	0.331980387	0.870127088	0.72621629	0.941296519
SEL1L3	0.547997821	0.92841979	0.413440479	0.930786542
CISD2	0.658567148	0.955799794	0.35977118	0.930786542
CCDC70	0.430847181	0.905449966	0.527256878	0.934650967
LRRC37A3	0.457455734	0.910299219	0.494693544	0.934070569
GSTM4	0.331980387	0.870127088	0.753685644	0.946505906
TOB2	0.500550259	0.920048067	0.450661945	0.930786542
SPACA4	0.430847181	0.905449966	0.544903296	0.934650967
MTHFD2	0.296366113	0.859483554	0.838267502	0.946505906
SUSD2	0.471255789	0.912244252	0.479286298	0.934070569
AKNAD1	0.313707437	0.864839291	0.781520022	0.946505906
FAM168B	0.720828112	0.971474473	0.324412966	0.930786542
C4orf22	0.331980387	0.870127088	0.72621629	0.941296519
MARS2	0.372105693	0.886207344	0.627518387	0.937424468
BRMS1L	0.313707437	0.864839291	0.781520022	0.946505906
NCAN	0.296366113	0.859483554	0.838267502	0.946505906
SLC30A6	0.485982021	0.916396137	0.464461999	0.932939374
C4orf48	0.547997821	0.92841979	0.413440479	0.930786542
VWC2L	0.394175974	0.897655087	0.584015255	0.937424468
GPR97	0.394175974	0.897655087	0.604990466	0.937424468
ADRB1	0.60049033	0.938681656	0.379449741	0.930786542
SPRR4	0.720828112	0.971474473	0.324412966	0.930786542
DRD1	0.331980387	0.870127088	0.72621629	0.941296519
SRP9	0.331980387	0.870127088	0.753685644	0.946505906
SYDE2	0.564728957	0.931237086	0.401808771	0.930786542
ROBO3	0.304647235	0.859483554	0.809773904	0.946505906
HRCT1	0.444129665	0.90941544	0.527256878	0.934650967
PENK	0.485982021	0.916396137	0.464461999	0.932939374
CYP2R1	0.678539907	0.958193568	0.341340234	0.930786542
FOXR1	0.471255789	0.912244252	0.479286298	0.934070569
OR8D4	0.485982021	0.916396137	0.464461999	0.932939374
KCNN2	0.471255789	0.912244252	0.479286298	0.934070569
TMEM65	0.35171343	0.880723056	0.674639063	0.938319315
MAGEB17	0.720828112	0.971474473	0.324412966	0.930786542
GABRA5	0.331980387	0.870127088	0.72621629	0.941296519
OR10G8	0.638670662	0.953926276	0.35977118	0.930786542
KRTAP5-3	0.658567148	0.955799794	0.35977118	0.930786542
ZNF395	0.500550259	0.920048067	0.450661945	0.930786542
ENHO	0.699013893	0.967820774	0.341340234	0.930786542
TMEM87A	0.406140016	0.901087876	0.584015255	0.937424468
PPRC1	0.457455734	0.910299219	0.494693544	0.934070569
SELL	0.322789431	0.870127088	0.781520022	0.946505906
LPCAT2	0.28828657	0.855675938	0.867376737	0.949922434
PDLIM1	0.372105693	0.886207344	0.627518387	0.937424468
CCDC142	0.741242168	0.971474473	0.316311632	0.930786542
KDM4B	0.372105693	0.886207344	0.627518387	0.937424468
ANKZF1	0.406140016	0.901087876	0.584015255	0.937424468
ADPGK	0.457455734	0.910299219	0.494693544	0.934070569
OVOL2	0.564728957	0.931237086	0.401808771	0.930786542
DENND4B	0.372105693	0.886207344	0.627518387	0.937424468
COX7C	0.58233179	0.934572003	0.390411332	0.930786542
ILVBL	0.36184146	0.88601921	0.650809044	0.937424468
PSD2	0.383110869	0.888551933	0.604990466	0.937424468
HSPB6	0.383110869	0.888551933	0.604990466	0.937424468
FAM83C	0.406140016	0.901087876	0.584015255	0.937424468
PTBP2	0.35171343	0.880723056	0.674639063	0.938319315
DEFB127	0.805290112	0.980179045	0.292824843	0.930786542
C18orf54	0.444129665	0.90941544	0.510721874	0.934650967
FLT3LG	0.564728957	0.931237086	0.401808771	0.930786542
GNAT2	0.331980387	0.870127088	0.72621629	0.941296519
SLC1A1	0.383110869	0.888551933	0.627518387	0.937424468
RREB1	0.444129665	0.90941544	0.510721874	0.934650967
TRPV1	0.658567148	0.955799794	0.350286026	0.930786542
DGKG	0.35171343	0.880723056	0.674639063	0.938319315
MYO1G	0.383110869	0.888551933	0.604990466	0.937424468
SCN10A	0.394175974	0.897655087	0.604990466	0.937424468
DNAH1	0.471255789	0.912244252	0.479286298	0.934070569
CLEC3B	0.500550259	0.920048067	0.450661945	0.930786542
ZKSCAN4	0.61928085	0.95263996	0.379449741	0.930786542
RASAL1	0.341743394	0.878775567	0.699705802	0.94123122
MYO1H	0.547997821	0.92841979	0.413440479	0.930786542
GCSAM	0.61928085	0.95263996	0.379449741	0.930786542
TMEM176B	0.331980387	0.870127088	0.753685644	0.946505906
ST6GAL1	0.741242168	0.971474473	0.324412966	0.930786542
F2RL1	0.280272405	0.852427506	0.896502315	0.956481051
MUC17	0.531609916	0.927449862	0.437624625	0.930786542
GORAB	0.638670662	0.953926276	0.369555979	0.930786542
